"",BBK01.OEAC15Q,BBK01.OEAC15Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:13,
2002-01,4.706,
2002-04,4.635,
2002-07,4.588,
2002-10,4.527,
2003-01,4.664,
2003-04,4.875,
2003-07,4.869,
2003-10,5.009,
2004-01,4.936,
2004-04,3.952,
2004-07,3.880,
2004-10,3.800,
2005-01,3.802,
2005-04,3.849,
2005-07,3.826,
2005-10,3.805,
2006-01,3.774,
2006-04,3.692,
2006-07,4.045,
2006-10,3.501,
2007-01,3.316,
2007-04,3.214,
2007-07,3.096,
2007-10,3.103,
2008-01,3.029,
2008-04,3.049,
2008-07,3.042,
2008-10,2.999,
2009-01,2.974,
2009-04,3.049,
2009-07,3.105,
2009-10,3.085,
2010-01,3.630,
2010-04,3.647,
2010-07,3.348,
2010-10,3.182,
2011-01,3.152,
2011-04,3.044,
2011-07,2.817,
2011-10,2.818,
2012-01,2.805,
2012-04,2.770,
2012-07,2.721,
2012-10,2.738,
2013-01,2.741,
2013-04,2.707,
2013-07,2.671,
2013-10,2.653,
2014-01,2.676,
2014-04,2.621,
2014-07,2.598,
