"",BBFN1.M.DE.N.1.A.W00200.S1P.H2.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.H2.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from advance payments made / Total / Industrial countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:37,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,5.937,
1995-02,5.806,
1995-03,5.868,
1995-04,5.851,
1995-05,5.904,
1995-06,5.895,
1995-07,6.003,
1995-08,6.120,
1995-09,6.011,
1995-10,6.111,
1995-11,6.154,
1995-12,5.738,
1996-01,5.702,
1996-02,5.863,
1996-03,5.996,
1996-04,6.020,
1996-05,6.068,
1996-06,5.954,
1996-07,5.942,
1996-08,5.897,
1996-09,5.907,
1996-10,5.822,
1996-11,5.741,
1996-12,5.914,
1997-01,6.092,
1997-02,6.148,
1997-03,6.175,
1997-04,6.300,
1997-05,6.352,
1997-06,6.182,
1997-07,6.168,
1997-08,6.099,
1997-09,6.139,
1997-10,6.127,
1997-11,6.000,
1997-12,5.744,
1998-01,5.957,
1998-02,6.155,
1998-03,5.990,
1998-04,6.200,
1998-05,6.166,
1998-06,5.966,
1998-07,6.152,
1998-08,6.285,
1998-09,6.414,
1998-10,6.538,
1998-11,6.225,
1998-12,6.162,
1999-01,6.409,
1999-02,6.628,
1999-03,6.547,
1999-04,6.716,
1999-05,6.671,
1999-06,6.321,
1999-07,6.594,
1999-08,6.470,
1999-09,6.370,
1999-10,6.340,
1999-11,6.523,
1999-12,6.278,
2000-01,6.422,
2000-02,6.353,
2000-03,6.315,
2000-04,6.104,
2000-05,6.333,
2000-06,5.905,
2000-07,6.094,
2000-08,6.213,
2000-09,6.184,
2000-10,6.194,
2000-11,6.266,
2000-12,5.835,
2001-01,5.983,
2001-02,6.076,
2001-03,6.048,
2001-04,6.079,
2001-05,6.174,
2001-06,6.105,
2001-07,6.079,
2001-08,6.907,
2001-09,6.614,
2001-10,7.040,
2001-11,6.962,
2001-12,7.001,
2002-01,6.245,
2002-02,6.503,
2002-03,6.809,
2002-04,6.919,
2002-05,6.616,
2002-06,6.617,
2002-07,6.936,
2002-08,6.837,
2002-09,6.436,
2002-10,6.822,
2002-11,6.149,
2002-12,5.708,
2003-01,5.822,
2003-02,5.820,
2003-03,5.937,
2003-04,6.140,
2003-05,5.906,
2003-06,5.828,
2003-07,6.388,
2003-08,6.166,
2003-09,6.027,
2003-10,6.105,
2003-11,5.224,
2003-12,4.848,
2004-01,4.998,
2004-02,5.278,
2004-03,4.899,
2004-04,4.965,
2004-05,5.320,
2004-06,5.254,
2004-07,5.301,
2004-08,5.305,
2004-09,5.264,
2004-10,5.045,
2004-11,5.039,
2004-12,4.772,
2005-01,5.005,
2005-02,5.042,
2005-03,5.077,
2005-04,5.174,
2005-05,5.328,
2005-06,5.164,
2005-07,5.229,
2005-08,5.270,
2005-09,5.349,
2005-10,5.372,
2005-11,5.308,
2005-12,5.265,
2006-01,5.451,
2006-02,5.556,
2006-03,5.721,
2006-04,5.916,
2006-05,5.998,
2006-06,5.978,
2006-07,6.229,
2006-08,6.180,
2006-09,6.033,
2006-10,6.224,
2006-11,6.290,
2006-12,6.055,
2007-01,6.477,
2007-02,6.484,
2007-03,6.666,
2007-04,6.800,
2007-05,7.121,
2007-06,7.207,
2007-07,7.413,
2007-08,7.561,
2007-09,7.586,
2007-10,7.741,
2007-11,8.134,
2007-12,8.020,
2008-01,8.296,
2008-02,8.526,
2008-03,8.420,
2008-04,8.600,
2008-05,8.740,
2008-06,8.954,
2008-07,9.137,
2008-08,9.262,
2008-09,9.334,
2008-10,9.426,
2008-11,9.551,
2008-12,9.234,
2009-01,9.370,
2009-02,9.455,
2009-03,9.340,
2009-04,9.318,
2009-05,9.449,
2009-06,9.376,
2009-07,9.301,
2009-08,9.223,
2009-09,8.984,
2009-10,9.291,
2009-11,9.095,
2009-12,8.881,
2010-01,9.024,
2010-02,9.042,
2010-03,8.873,
2010-04,8.922,
2010-05,9.051,
2010-06,8.993,
2010-07,9.006,
2010-08,9.021,
2010-09,9.162,
2010-10,9.186,
2010-11,9.383,
2010-12,9.327,
2011-01,11.690,
2011-02,11.656,
2011-03,11.639,
2011-04,11.781,
2011-05,12.164,
2011-06,12.168,
2011-07,12.189,
2011-08,12.428,
2011-09,12.382,
2011-10,12.702,
2011-11,12.547,
2011-12,12.292,
2012-01,12.471,
2012-02,12.449,
2012-03,12.383,
2012-04,12.491,
2012-05,12.630,
2012-06,12.721,
2012-07,13.191,
2012-08,13.922,
2012-09,14.019,
2012-10,13.623,
2012-11,13.634,
2012-12,13.339,
2013-01,13.493,
2013-02,13.774,
2013-03,13.696,
2013-04,13.927,
2013-05,14.001,
2013-06,15.383,
2013-07,12.517,
2013-08,11.389,
2013-09,12.901,
2013-10,13.434,
2013-11,13.628,
2013-12,13.332,
2014-01,13.024,
2014-02,12.946,
2014-03,13.012,
2014-04,12.971,
2014-05,13.481,
2014-06,13.133,
2014-07,13.154,
2014-08,13.193,
2014-09,13.027,
2014-10,13.317,
2014-11,13.142,
2014-12,13.100,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
