"",BBK01.OEAB03U,BBK01.OEAB03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:50,
2002-01,1.289,
2002-04,1.355,
2002-07,1.355,
2002-10,1.604,
2003-01,1.591,
2003-04,1.660,
2003-07,1.686,
2003-10,1.680,
2004-01,1.758,
2004-04,1.713,
2004-07,1.743,
2004-10,1.760,
2005-01,1.707,
2005-04,1.696,
2005-07,1.788,
2005-10,1.779,
2006-01,1.782,
2006-04,1.830,
2006-07,1.854,
2006-10,1.886,
2007-01,1.818,
2007-04,1.699,
2007-07,1.643,
2007-10,1.513,
2008-01,1.449,
2008-04,1.439,
2008-07,1.380,
2008-10,1.359,
2009-01,1.326,
2009-04,1.321,
2009-07,1.356,
2009-10,1.435,
2010-01,1.459,
2010-04,1.417,
2010-07,1.399,
2010-10,1.378,
2011-01,1.417,
2011-04,1.401,
2011-07,1.404,
2011-10,1.371,
2012-01,1.364,
2012-04,1.381,
2012-07,1.402,
2012-10,1.363,
2013-01,1.402,
2013-04,1.425,
2013-07,1.490,
2013-10,1.485,
2014-01,1.443,
2014-04,1.433,
2014-07,1.380,
