"",BBK01.CEFO05,BBK01.CEFO05_FLAGS
"",Other deposits                                                 debtor: Total           creditor:  OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:31,
1999-01,18.8,
1999-04,17.0,
1999-07,16.2,
1999-10,12.0,
2000-01,20.8,
2000-04,13.7,
2000-07,14.4,
2000-10,11.7,
2001-01,19.1,
2001-04,18.1,
2001-07,19.2,
2001-10,19.1,
2002-01,32.7,
2002-04,34.0,
2002-07,29.7,
2002-10,15.1,
2003-01,25.1,
2003-04,31.4,
2003-07,38.3,
2003-10,33.6,
2004-01,45.4,
2004-04,37.6,
2004-07,43.3,
2004-10,34.5,
2005-01,61.0,
2005-04,52.7,
2005-07,66.0,
2005-10,49.3,
2006-01,62.8,
2006-04,60.8,
2006-07,76.9,
2006-10,62.7,
2007-01,90.4,
2007-04,92.9,
2007-07,93.8,
2007-10,95.6,
2008-01,126.6,
2008-04,120.1,
2008-07,136.8,
2008-10,154.3,
2009-01,190.8,
2009-04,208.1,
2009-07,208.1,
2009-10,249.8,
2010-01,241.2,
2010-04,270.3,
2010-07,287.4,
2010-10,306.1,
2011-01,294.6,
2011-04,337.6,
2011-07,381.2,
2011-10,327.4,
2012-01,326.6,
2012-04,352.9,
2012-07,352.1,
2012-10,304.9,
2013-01,345.3,
2013-04,372.0,
2013-07,164.4,
2013-10,159.7,
2014-01,182.6,
2014-04,187.3,
2014-07,182.6,
