"",BBDE1.M.DE.Y.AEB5.A2P350000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2P350000.F.C.I10.A_FLAGS
"",Orders received from abroad / At constant prices / Germany / Consumer goods (Durable- and Non-durable gooods) / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:20,
1991-01,54.6,
1991-02,74.7,
1991-03,54.4,
1991-04,54.8,
1991-05,55.0,
1991-06,57.9,
1991-07,56.2,
1991-08,56.7,
1991-09,54.1,
1991-10,55.8,
1991-11,60.1,
1991-12,56.3,
1992-01,56.9,
1992-02,57.0,
1992-03,54.1,
1992-04,53.8,
1992-05,54.3,
1992-06,52.6,
1992-07,51.4,
1992-08,54.7,
1992-09,51.2,
1992-10,51.8,
1992-11,54.2,
1992-12,60.8,
1993-01,50.1,
1993-02,51.3,
1993-03,48.5,
1993-04,48.2,
1993-05,55.2,
1993-06,45.6,
1993-07,48.3,
1993-08,54.9,
1993-09,47.6,
1993-10,49.7,
1993-11,51.4,
1993-12,64.5,
1994-01,53.0,
1994-02,53.7,
1994-03,55.6,
1994-04,61.1,
1994-05,54.3,
1994-06,53.4,
1994-07,53.6,
1994-08,54.8,
1994-09,58.7,
1994-10,58.0,
1994-11,60.4,
1994-12,58.1,
1995-01,58.8,
1995-02,57.6,
1995-03,57.1,
1995-04,63.8,
1995-05,62.2,
1995-06,62.2,
1995-07,63.0,
1995-08,62.3,
1995-09,65.5,
1995-10,68.8,
1995-11,61.1,
1995-12,67.8,
1996-01,58.7,
1996-02,57.7,
1996-03,63.2,
1996-04,62.1,
1996-05,63.3,
1996-06,60.8,
1996-07,61.6,
1996-08,60.7,
1996-09,62.3,
1996-10,61.1,
1996-11,60.6,
1996-12,65.2,
1997-01,62.2,
1997-02,63.4,
1997-03,67.7,
1997-04,68.1,
1997-05,64.5,
1997-06,66.4,
1997-07,68.2,
1997-08,66.5,
1997-09,71.7,
1997-10,68.9,
1997-11,66.1,
1997-12,78.6,
1998-01,68.2,
1998-02,67.9,
1998-03,70.7,
1998-04,66.7,
1998-05,66.1,
1998-06,72.5,
1998-07,68.9,
1998-08,69.0,
1998-09,69.3,
1998-10,65.6,
1998-11,63.7,
1998-12,67.4,
1999-01,66.7,
1999-02,67.4,
1999-03,66.1,
1999-04,74.0,
1999-05,75.3,
1999-06,68.4,
1999-07,76.0,
1999-08,75.8,
1999-09,70.2,
1999-10,71.4,
1999-11,76.7,
1999-12,71.9,
2000-01,73.3,
2000-02,74.8,
2000-03,78.2,
2000-04,76.5,
2000-05,76.1,
2000-06,78.9,
2000-07,78.5,
2000-08,79.8,
2000-09,82.2,
2000-10,81.6,
2000-11,82.8,
2000-12,86.5,
2001-01,85.1,
2001-02,81.9,
2001-03,82.2,
2001-04,83.8,
2001-05,83.4,
2001-06,87.1,
2001-07,85.6,
2001-08,86.4,
2001-09,81.4,
2001-10,87.8,
2001-11,85.8,
2001-12,86.5,
2002-01,88.1,
2002-02,83.4,
2002-03,89.8,
2002-04,87.5,
2002-05,83.0,
2002-06,83.8,
2002-07,86.9,
2002-08,86.1,
2002-09,90.9,
2002-10,84.1,
2002-11,92.9,
2002-12,86.2,
2003-01,87.6,
2003-02,88.9,
2003-03,85.3,
2003-04,85.3,
2003-05,85.7,
2003-06,84.8,
2003-07,85.6,
2003-08,86.1,
2003-09,86.7,
2003-10,92.2,
2003-11,86.6,
2003-12,91.8,
2004-01,87.4,
2004-02,89.9,
2004-03,87.6,
2004-04,92.4,
2004-05,90.7,
2004-06,86.4,
2004-07,93.0,
2004-08,86.3,
2004-09,89.9,
2004-10,89.3,
2004-11,89.5,
2004-12,91.7,
2005-01,95.6,
2005-02,95.7,
2005-03,95.7,
2005-04,94.2,
2005-05,92.2,
2005-06,93.9,
2005-07,95.6,
2005-08,95.8,
2005-09,97.3,
2005-10,96.0,
2005-11,96.4,
2005-12,97.9,
2006-01,97.4,
2006-02,96.4,
2006-03,100.1,
2006-04,100.2,
2006-05,99.5,
2006-06,97.2,
2006-07,103.2,
2006-08,104.8,
2006-09,103.5,
2006-10,102.8,
2006-11,107.5,
2006-12,99.0,
2007-01,105.0,
2007-02,108.0,
2007-03,106.3,
2007-04,105.9,
2007-05,109.7,
2007-06,111.7,
2007-07,108.4,
2007-08,113.3,
2007-09,111.4,
2007-10,121.6,
2007-11,109.4,
2007-12,108.9,
2008-01,107.4,
