"",BBFN1.M.DE.N.1.L.IN.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IN.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / India,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:53,
1994-07,0.545,
1994-08,0.552,
1994-09,0.546,
1994-10,0.582,
1994-11,0.601,
1994-12,0.604,
1995-01,0.627,
1995-02,0.652,
1995-03,0.668,
1995-04,0.673,
1995-05,0.675,
1995-06,0.716,
1995-07,0.742,
1995-08,0.757,
1995-09,0.764,
1995-10,0.748,
1995-11,0.651,
1995-12,0.558,
1996-01,0.588,
1996-02,0.633,
1996-03,0.678,
1996-04,0.707,
1996-05,0.749,
1996-06,0.608,
1996-07,0.626,
1996-08,0.628,
1996-09,0.628,
1996-10,0.630,
1996-11,0.592,
1996-12,0.555,
1997-01,0.565,
1997-02,0.564,
1997-03,0.603,
1997-04,0.636,
1997-05,0.605,
1997-06,0.623,
1997-07,0.658,
1997-08,0.612,
1997-09,0.623,
1997-10,0.575,
1997-11,0.565,
1997-12,0.549,
1998-01,0.627,
1998-02,0.646,
1998-03,0.548,
1998-04,0.573,
1998-05,0.548,
1998-06,0.500,
1998-07,0.532,
1998-08,0.514,
1998-09,0.528,
1998-10,0.522,
1998-11,0.499,
1998-12,0.464,
1999-01,0.472,
1999-02,0.520,
1999-03,0.467,
1999-04,0.525,
1999-05,0.459,
1999-06,0.506,
1999-07,0.484,
1999-08,0.464,
1999-09,0.406,
1999-10,0.383,
1999-11,0.405,
1999-12,0.421,
2000-01,0.439,
2000-02,0.431,
2000-03,0.436,
2000-04,0.373,
2000-05,0.380,
2000-06,0.409,
2000-07,0.383,
2000-08,0.382,
2000-09,0.419,
2000-10,0.428,
2000-11,0.426,
2000-12,0.463,
2001-01,0.461,
2001-02,0.489,
2001-03,0.549,
2001-04,0.541,
2001-05,0.551,
2001-06,0.566,
2001-07,0.519,
2001-08,0.565,
2001-09,0.601,
2001-10,0.594,
2001-11,0.596,
2001-12,0.633,
2002-01,0.571,
2002-02,0.578,
2002-03,0.612,
2002-04,0.625,
2002-05,0.668,
2002-06,0.747,
2002-07,0.745,
2002-08,0.725,
2002-09,0.885,
2002-10,0.899,
2002-11,0.895,
2002-12,0.754,
2003-01,0.922,
2003-02,0.744,
2003-03,0.755,
2003-04,0.756,
2003-05,0.679,
2003-06,0.680,
2003-07,0.541,
2003-08,0.541,
2003-09,0.493,
2003-10,0.503,
2003-11,0.512,
2003-12,0.520,
2004-01,0.516,
2004-02,0.531,
2004-03,0.521,
2004-04,0.549,
2004-05,0.563,
2004-06,0.587,
2004-07,0.608,
2004-08,0.592,
2004-09,0.592,
2004-10,0.589,
2004-11,0.590,
2004-12,0.609,
2005-01,0.590,
2005-02,0.611,
2005-03,0.636,
2005-04,0.596,
2005-05,0.619,
2005-06,0.645,
2005-07,0.647,
2005-08,0.672,
2005-09,0.684,
2005-10,0.727,
2005-11,0.724,
2005-12,0.758,
2006-01,0.739,
2006-02,0.819,
2006-03,0.816,
2006-04,0.850,
2006-05,0.852,
2006-06,0.884,
2006-07,0.929,
2006-08,0.937,
2006-09,0.951,
2006-10,0.998,
2006-11,1.018,
2006-12,1.089,
2007-01,1.075,
2007-02,1.147,
2007-03,1.218,
2007-04,1.275,
2007-05,1.239,
2007-06,1.232,
2007-07,1.257,
2007-08,1.325,
2007-09,1.252,
2007-10,1.292,
2007-11,1.270,
2007-12,1.288,
2008-01,1.293,
2008-02,1.344,
2008-03,1.413,
2008-04,1.443,
2008-05,1.487,
2008-06,1.556,
2008-07,1.549,
2008-08,1.569,
2008-09,1.643,
2008-10,1.775,
2008-11,1.803,
2008-12,1.802,
2009-01,1.817,
2009-02,1.812,
2009-03,1.832,
2009-04,1.807,
2009-05,1.887,
2009-06,1.977,
2009-07,1.999,
2009-08,1.826,
2009-09,1.902,
2009-10,1.833,
2009-11,1.779,
2009-12,1.783,
2010-01,1.740,
2010-02,1.811,
2010-03,1.902,
2010-04,1.917,
2010-05,2.022,
2010-06,2.009,
2010-07,2.108,
2010-08,2.176,
2010-09,2.141,
2010-10,2.295,
2010-11,2.246,
2010-12,2.338,
2011-01,2.269,
2011-02,2.302,
2011-03,2.344,
2011-04,2.348,
2011-05,2.437,
2011-06,2.474,
2011-07,2.490,
2011-08,2.477,
2011-09,2.516,
2011-10,2.562,
2011-11,2.622,
2011-12,2.668,
2012-01,2.653,
2012-02,2.672,
2012-03,2.743,
2012-04,2.828,
2012-05,2.896,
2012-06,2.788,
2012-07,2.778,
2012-08,2.716,
2012-09,2.948,
2012-10,2.834,
2012-11,2.706,
2012-12,2.756,
2013-01,2.666,
2013-02,2.683,
2013-03,2.779,
2013-04,2.605,
2013-05,2.648,
2013-06,2.716,
2013-07,2.133,
2013-08,2.191,
2013-09,2.664,
2013-10,2.677,
2013-11,2.651,
2013-12,2.714,
2014-01,2.720,
2014-02,2.797,
2014-03,2.809,
2014-04,2.842,
2014-05,2.833,
2014-06,2.866,
2014-07,2.829,
2014-08,2.859,
2014-09,2.567,
2014-10,2.487,
2014-11,2.582,
2014-12,2.478,
