"",BBK01.OEAB18Q,BBK01.OEAB18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:11,
2002-01,1.815,
2002-04,1.794,
2002-07,1.764,
2002-10,1.713,
2003-01,1.609,
2003-04,1.621,
2003-07,1.683,
2003-10,1.601,
2004-01,1.506,
2004-04,1.367,
2004-07,1.377,
2004-10,1.366,
2005-01,1.325,
2005-04,1.288,
2005-07,1.312,
2005-10,1.322,
2006-01,1.285,
2006-04,1.243,
2006-07,1.222,
2006-10,1.227,
2007-01,1.202,
2007-04,1.203,
2007-07,1.159,
2007-10,1.192,
2008-01,1.132,
2008-04,1.148,
2008-07,1.126,
2008-10,1.191,
2009-01,1.082,
2009-04,1.045,
2009-07,1.039,
2009-10,1.004,
2010-01,1.025,
2010-04,1.006,
2010-07,1.005,
2010-10,1.121,
2011-01,1.139,
2011-04,1.097,
2011-07,1.107,
2011-10,1.054,
2012-01,1.013,
2012-04,0.994,
2012-07,1.041,
2012-10,1.016,
2013-01,1.006,
2013-04,1.097,
2013-07,1.155,
2013-10,1.149,
2014-01,1.115,
2014-04,1.058,
2014-07,1.001,
