"",BBK01.OEAE12J,BBK01.OEAE12J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:37,
2002-01,0.045,
2002-04,0.049,
2002-07,0.060,
2002-10,0.058,
2003-01,0.061,
2003-04,0.062,
2003-07,0.056,
2003-10,0.061,
2004-01,0.056,
2004-04,0.063,
2004-07,0.053,
2004-10,0.057,
2005-01,0.066,
2005-04,0.071,
2005-07,0.067,
2005-10,0.068,
2006-01,0.066,
2006-04,0.063,
2006-07,0.068,
2006-10,0.063,
2007-01,0.078,
2007-04,0.070,
2007-07,0.043,
2007-10,0.072,
2008-01,0.069,
2008-04,0.089,
2008-07,0.095,
2008-10,0.094,
2009-01,0.102,
2009-04,0.120,
2009-07,0.073,
2009-10,0.063,
2010-01,0.064,
2010-04,0.093,
2010-07,0.069,
2010-10,0.070,
2011-01,0.112,
2011-04,0.106,
2011-07,0.101,
2011-10,0.073,
2012-01,0.115,
2012-04,0.097,
2012-07,0.077,
2012-10,0.068,
2013-01,0.084,
2013-04,0.070,
2013-07,0.052,
2013-10,0.083,
2014-01,0.115,
2014-04,0.121,
2014-07,0.059,
