"",BBFN1.M.DE.N.1.A.DK.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.DK.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:06,
1982-09,0.046,
1982-10,0.043,
1982-11,0.043,
1982-12,0.045,
1983-01,0.045,
1983-02,0.045,
1983-03,0.045,
1983-04,0.045,
1983-05,0.049,
1983-06,0.053,
1983-07,0.054,
1983-08,0.055,
1983-09,0.057,
1983-10,0.055,
1983-11,0.058,
1983-12,0.059,
1984-01,0.059,
1984-02,0.059,
1984-03,0.062,
1984-04,0.064,
1984-05,0.064,
1984-06,0.064,
1984-07,0.065,
1984-08,0.064,
1984-09,0.068,
1984-10,0.078,
1984-11,0.063,
1984-12,0.064,
1985-01,0.074,
1985-02,0.075,
1985-03,0.075,
1985-04,0.076,
1985-05,0.076,
1985-06,0.077,
1985-07,0.077,
1985-08,0.079,
1985-09,0.080,
1985-10,0.079,
1985-11,0.079,
1985-12,0.077,
1986-01,0.076,
1986-02,0.080,
1986-03,0.078,
1986-04,0.078,
1986-05,0.078,
1986-06,0.093,
1986-07,0.089,
1986-08,0.084,
1986-09,0.084,
1986-10,0.083,
1986-11,0.085,
1986-12,0.082,
1987-01,0.083,
1987-02,0.082,
1987-03,0.082,
1987-04,0.082,
1987-05,0.082,
1987-06,0.067,
1987-07,0.067,
1987-08,0.067,
1987-09,0.067,
1987-10,0.066,
1987-11,0.066,
1987-12,0.050,
1988-01,0.049,
1988-02,0.049,
1988-03,0.049,
1988-04,0.051,
1988-05,0.051,
1988-06,0.051,
1988-07,0.051,
1988-08,0.060,
1988-09,0.059,
1988-10,0.061,
1988-11,0.060,
1988-12,0.060,
1989-01,0.059,
1989-02,0.060,
1989-03,0.061,
1989-04,0.062,
1989-05,0.062,
1989-06,0.070,
1989-07,0.070,
1989-08,0.070,
1989-09,0.071,
1989-10,0.070,
1989-11,0.070,
1989-12,0.070,
1990-01,0.070,
1990-02,0.071,
1990-03,0.075,
1990-04,0.071,
1990-05,0.082,
1990-06,0.082,
1990-07,0.095,
1990-08,0.094,
1990-09,0.095,
1990-10,0.096,
1990-11,0.098,
1990-12,0.097,
1991-01,0.093,
1991-02,0.095,
1991-03,0.097,
1991-04,0.114,
1991-05,0.113,
1991-06,0.114,
1991-07,0.111,
1991-08,0.108,
1991-09,0.109,
1991-10,0.108,
1991-11,0.109,
1991-12,0.111,
1992-01,0.111,
1992-02,0.110,
1992-03,0.111,
1992-04,0.111,
1992-05,0.111,
1992-06,0.115,
1992-07,0.115,
1992-08,0.116,
1992-09,0.134,
1992-10,0.136,
1992-11,0.134,
1992-12,0.109,
1993-01,0.129,
1993-02,0.128,
1993-03,0.132,
1993-04,0.141,
1993-05,0.140,
1993-06,0.138,
1993-07,0.134,
1993-08,0.126,
1993-09,0.127,
1993-10,0.131,
1993-11,0.133,
1993-12,0.096,
1994-01,0.087,
1994-02,0.089,
1994-03,0.089,
1994-04,0.088,
1994-05,0.070,
1994-06,0.071,
1994-07,0.073,
1994-08,0.064,
1994-09,0.075,
1994-10,0.074,
1994-11,0.063,
1994-12,0.047,
1995-01,0.048,
1995-02,0.048,
1995-03,0.048,
1995-04,0.050,
1995-05,0.050,
1995-06,0.050,
1995-07,0.040,
1995-08,0.040,
1995-09,0.040,
1995-10,0.040,
1995-11,0.041,
1995-12,0.035,
1996-01,0.036,
1996-02,0.059,
1996-03,0.058,
1996-04,0.058,
1996-05,0.057,
1996-06,0.059,
1996-07,0.059,
1996-08,0.060,
1996-09,0.061,
1996-10,0.061,
1996-11,0.062,
1996-12,0.063,
1997-01,0.063,
1997-02,0.063,
1997-03,0.063,
1997-04,0.063,
1997-05,0.065,
1997-06,0.064,
1997-07,0.062,
1997-08,0.062,
1997-09,0.064,
1997-10,0.064,
1997-11,0.065,
1997-12,0.063,
1998-01,0.063,
1998-02,0.056,
1998-03,0.056,
1998-04,0.060,
1998-05,0.067,
1998-06,0.070,
1998-07,0.069,
1998-08,0.063,
1998-09,0.063,
1998-10,0.062,
1998-11,0.062,
1998-12,0.072,
1999-01,0.062,
1999-02,0.065,
1999-03,0.064,
1999-04,0.048,
1999-05,0.048,
1999-06,0.044,
1999-07,0.044,
1999-08,0.043,
1999-09,0.041,
1999-10,0.040,
1999-11,0.044,
1999-12,0.038,
2000-01,0.044,
2000-02,0.051,
2000-03,0.088,
2000-04,0.049,
2000-05,0.042,
2000-06,0.041,
2000-07,0.044,
2000-08,0.054,
2000-09,0.064,
2000-10,0.067,
2000-11,0.072,
2000-12,0.080,
2001-01,0.081,
2001-02,0.124,
2001-03,0.125,
2001-04,0.129,
2001-05,0.129,
2001-06,0.118,
2001-07,0.120,
2001-08,0.168,
2001-09,0.177,
2001-10,0.177,
2001-11,0.162,
2001-12,0.162,
2002-01,0.161,
2002-02,0.176,
2002-03,0.171,
2002-04,0.201,
2002-05,0.197,
2002-06,0.195,
2002-07,0.216,
2002-08,0.277,
2002-09,0.270,
2002-10,0.250,
2002-11,0.248,
2002-12,0.246,
2003-01,0.244,
2003-02,0.226,
2003-03,0.237,
2003-04,0.231,
2003-05,0.251,
2003-06,0.271,
2003-07,0.272,
2003-08,0.271,
2003-09,0.271,
2003-10,0.273,
2003-11,0.274,
2003-12,0.314,
2004-01,0.347,
2004-02,0.315,
2004-03,0.320,
2004-04,0.348,
2004-05,0.353,
2004-06,0.367,
2004-07,0.405,
2004-08,0.413,
2004-09,0.404,
2004-10,0.428,
2004-11,0.397,
2004-12,0.373,
2005-01,0.353,
2005-02,0.344,
2005-03,0.408,
2005-04,0.422,
2005-05,0.416,
2005-06,0.413,
2005-07,0.413,
2005-08,0.413,
2005-09,0.413,
2005-10,0.433,
2005-11,0.429,
2005-12,0.434,
2006-01,0.366,
2006-02,0.386,
2006-03,0.431,
2006-04,0.446,
2006-05,0.486,
2006-06,0.459,
2006-07,0.482,
2006-08,0.429,
2006-09,0.439,
2006-10,0.441,
2006-11,0.440,
2006-12,0.459,
2007-01,0.494,
2007-02,0.498,
2007-03,0.523,
2007-04,0.490,
2007-05,0.489,
2007-06,0.483,
2007-07,0.497,
2007-08,0.536,
2007-09,0.533,
2007-10,0.533,
2007-11,0.531,
2007-12,0.603,
2008-01,0.649,
2008-02,0.640,
2008-03,0.678,
2008-04,0.727,
2008-05,0.737,
2008-06,0.755,
2008-07,0.775,
2008-08,0.774,
2008-09,0.839,
2008-10,0.778,
2008-11,0.782,
2008-12,0.788,
2009-01,0.785,
2009-02,0.777,
2009-03,0.777,
2009-04,0.777,
2009-05,0.811,
2009-06,0.811,
2009-07,0.929,
2009-08,1.095,
2009-09,1.100,
2009-10,1.495,
2009-11,1.632,
2009-12,1.644,
2010-01,1.711,
2010-02,1.716,
2010-03,1.735,
2010-04,1.723,
2010-05,1.712,
2010-06,1.719,
2010-07,1.713,
2010-08,1.714,
2010-09,1.793,
2010-10,1.826,
2010-11,1.887,
2010-12,2.024,
2011-01,2.070,
2011-02,2.074,
2011-03,2.118,
2011-04,2.148,
2011-05,2.149,
2011-06,2.169,
2011-07,2.180,
2011-08,2.123,
2011-09,2.184,
2011-10,2.323,
2011-11,2.294,
2011-12,2.301,
2012-01,2.359,
2012-02,2.368,
2012-03,2.362,
2012-04,2.427,
2012-05,2.427,
2012-06,2.484,
2012-07,2.746,
2012-08,2.727,
2012-09,2.750,
2012-10,2.739,
2012-11,2.765,
2012-12,2.866,
2013-01,2.877,
2013-02,3.063,
2013-03,3.091,
2013-04,3.084,
2013-05,3.105,
2013-06,3.132,
2013-07,3.144,
2013-08,3.179,
2013-09,3.208,
2013-10,3.207,
2013-11,3.205,
2013-12,3.205,
2014-01,3.190,
2014-02,3.261,
2014-03,3.245,
2014-04,3.240,
2014-05,4.329,
2014-06,4.378,
2014-07,4.368,
2014-08,4.327,
2014-09,4.361,
2014-10,4.384,
2014-11,4.397,
2014-12,4.412,
