"",BBEX3.M.MRO.USD.CA.AC.A01,BBEX3.M.MRO.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Mauritania / USD 1 = MRO ... (middle),
unit,MRO (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:21,
1975-01,42.170,
1975-02,40.960,
1975-03,41.590,
1975-04,41.865,
1975-05,41.230,
1975-06,41.370,
1975-07,44.160,
1975-08,44.350,
1975-09,45.820,
1975-10,44.200,
1975-11,44.755,
1975-12,45.150,
1976-01,45.010,
1976-02,44.785,
1976-03,45.240,
1976-04,45.040,
1976-05,45.700,
1976-06,45.740,
1976-07,45.895,
1976-08,45.350,
1976-09,44.735,
1976-10,44.210,
1976-11,44.170,
1976-12,43.640,
1977-01,44.360,
1977-02,44.140,
1977-03,44.910,
1977-04,45.610,
1977-05,46.240,
1977-06,46.170,
1977-07,46.065,
1977-08,46.185,
1977-09,46.185,
1977-10,46.155,
1977-11,46.120,
1977-12,46.055,
1978-01,46.065,
1978-02,46.085,
1978-03,46.035,
1978-04,46.260,
1978-05,46.285,
1978-06,46.215,
1978-07,46.155,
1978-08,46.155,
1978-09,46.155,
1978-10,46.155,
1978-11,46.155,
1978-12,46.155,
1979-01,45.895,
1979-02,45.880,
1979-03,45.895,
1979-04,45.905,
1979-05,45.935,
1979-06,45.870,
1979-07,45.895,
1979-08,45.905,
1979-09,45.870,
1979-10,45.855,
1979-11,45.870,
1979-12,45.845,
1980-01,45.855,
1980-02,45.875,
1980-03,45.975,
1980-04,45.915,
1980-05,45.885,
1980-06,45.865,
1980-07,45.865,
1980-08,45.895,
1980-09,45.915,
1980-10,45.965,
1980-11,45.995,
1980-12,46.025,
1981-01,46.510,
1981-02,47.030,
1981-03,47.080,
1981-04,47.580,
1981-05,48.420,
1981-06,48.840,
1981-07,49.260,
1981-08,49.300,
1981-09,48.345,
1981-10,49.025,
1981-11,48.655,
1981-12,48.940,
1982-01,49.300,
1982-02,50.700,
1982-03,51.295,
1982-04,51.050,
1982-05,50.890,
1982-06,52.870,
1982-07,52.800,
1982-08,52.900,
1982-09,53.550,
1982-10,53.720,
1982-11,53.530,
1982-12,52.960,
1983-01,52.920,
1983-02,52.860,
1983-03,53.885,
1983-04,54.130,
1983-05,54.650,
1983-06,54.820,
1983-07,55.520,
1983-08,56.020,
1983-09,55.850,
1983-10,55.760,
1983-11,56.500,
1983-12,57.030,
1984-01,57.640,
1984-02,58.080,
1984-03,59.400,
1984-04,62.155,
1984-05,64.565,
1984-06,66.520,
1984-07,66.930,
1984-08,66.950,
1984-09,67.150,
1984-10,67.150,
1984-11,67.220,
1984-12,67.290,
1985-01,72.620,
1985-02,81.990,comment
1985-03,77.510,
1985-04,77.640,
1985-05,79.110,
1985-06,80.150,
1985-07,76.910,
1985-08,76.220,
1985-09,77.130,
1985-10,76.280,
1985-11,75.530,
1985-12,77.070,
1986-01,74.990,
1986-02,73.300,
1986-03,75.515,
1986-04,73.600,
1986-05,75.570,
1986-06,75.800,
1986-07,74.400,
1986-08,73.270,
1986-09,73.700,
1986-10,74.120,
1986-11,73.440,
1986-12,74.080,
1987-01,71.395,
1987-02,72.250,
1987-03,72.870,
1987-04,73.520,
1987-05,74.010,
1987-06,75.260,
1987-07,75.840,
1987-08,74.830,
1987-09,75.310,
1987-10,73.330,
1987-11,73.300,
1987-12,71.600,
1988-01,73.020,
1988-02,73.410,
1988-03,72.730,
1988-04,72.920,
1988-05,73.875,
1988-06,76.840,
1988-07,77.800,
1988-08,78.710,
1988-09,78.920,
1988-10,76.100,
1988-11,74.690,
1988-12,75.930,
1989-01,77.690,
1989-02,76.510,
1989-03,78.350,
1989-04,81.740,
1989-05,86.100,
1989-06,84.900,
1989-07,83.320,
1989-08,86.600,
1989-09,85.140,
1989-10,85.520,
1989-11,85.460,
1989-12,83.550,
1990-01,83.030,
1990-02,83.420,
1990-03,83.870,
1990-04,82.590,
1990-05,82.160,
1990-06,81.610,
1990-07,79.910,
1990-08,78.170,
1990-09,78.710,
1990-10,77.190,
1990-11,76.370,
1990-12,77.760,
1991-01,76.630,
1991-02,77.600,
1991-03,83.940,
1991-04,85.490,
1991-05,83.200,
1991-06,86.560,
1991-07,84.990,
1991-08,85.260,
1991-09,83.230,
1991-10,83.320,
1991-11,80.210,
1991-12,77.820,
1992-01,80.020,
1992-02,82.170,
1992-03,81.740,
1992-04,81.820,
1992-05,80.930,
1992-06,77.570,
1992-07,76.080,
1992-08,74.290,
1992-09,76.620,
1992-10,110.780,comment
1992-11,114.420,
1992-12,115.100,
1993-01,113.810,
1993-02,116.655,
1993-03,116.930,
1993-04,115.120,
1993-05,117.700,
1993-06,120.910,
