"",BBK01.OEXB03R,BBK01.OEXB03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:46,
2002-01,0.297,
2002-04,0.292,
2002-07,0.296,
2002-10,0.320,
2003-01,0.307,
2003-04,0.344,
2003-07,0.342,
2003-10,0.348,
2004-01,0.353,
2004-04,0.355,
2004-07,0.361,
2004-10,0.345,
2005-01,0.339,
2005-04,0.339,
2005-07,0.332,
2005-10,0.324,
2006-01,0.306,
2006-04,0.310,
2006-07,0.318,
2006-10,0.300,
2007-01,0.300,
2007-04,0.300,
2007-07,0.300,
2007-10,0.221,
2008-01,4.560,
2008-04,0.227,
2008-07,0.226,
2008-10,0.225,
2009-01,0.229,
2009-04,0.230,
2009-07,0.225,
2009-10,0.236,
2010-01,0.282,
2010-04,0.297,
2010-07,0.317,
2010-10,0.272,
2011-01,0.290,
2011-04,0.280,
2011-07,0.275,
2011-10,0.260,
2012-01,0.266,
2012-04,0.256,
2012-07,0.254,
2012-10,0.258,
2013-01,0.265,
2013-04,0.258,
2013-07,0.267,
2013-10,0.265,
2014-01,0.259,
2014-04,0.250,
2014-07,0.251,
