"",BBK01.OEBI06T,BBK01.OEBI06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:50,
2002-01,0.070,
2002-04,0.070,
2002-07,0.063,
2002-10,0.056,
2003-01,0.055,
2003-04,0.051,
2003-07,0.047,
2003-10,0.044,
2004-01,0.050,
2004-04,0.049,
2004-07,0.047,
2004-10,0.041,
2005-01,0.048,
2005-04,0.047,
2005-07,0.046,
2005-10,0.046,
2006-01,0.044,
2006-04,0.047,
2006-07,0.051,
2006-10,0.053,
2007-01,0.057,
2007-04,0.059,
2007-07,0.062,
2007-10,0.070,
2008-01,0.078,
2008-04,0.087,
2008-07,0.092,
2008-10,0.100,
2009-01,0.111,
2009-04,0.096,
2009-07,0.086,
2009-10,0.079,
2010-01,0.091,
2010-04,0.114,
2010-07,0.125,
2010-10,0.133,
2011-01,0.149,
2011-04,0.180,
2011-07,0.197,
2011-10,0.238,
2012-01,0.241,
2012-04,0.247,
2012-07,0.246,
2012-10,0.221,
2013-01,0.196,
2013-04,0.179,
2013-07,0.189,
2013-10,0.206,
2014-01,0.220,
2014-04,0.239,
2014-07,0.280,
