"",BBK01.OEBJ10K,BBK01.OEBJ10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:05,
2002-01,0.135,
2002-04,0.134,
2002-07,0.132,
2002-10,0.131,
2003-01,0.129,
2003-04,0.089,
2003-07,0.096,
2003-10,0.092,
2004-01,0.089,
2004-04,0.087,
2004-07,0.084,
2004-10,0.083,
2005-01,0.075,
2005-04,0.072,
2005-07,0.068,
2005-10,0.066,
2006-01,0.065,
2006-04,0.063,
2006-07,0.060,
2006-10,0.070,
2007-01,0.053,
2007-04,0.050,
2007-07,0.048,
2007-10,0.045,
2008-01,0.043,
2008-04,0.042,
2008-07,0.041,
2008-10,0.037,
2009-01,0.050,
2009-04,0.048,
2009-07,0.052,
2009-10,0.050,
2010-01,0.048,
2010-04,0.044,
2010-07,0.042,
2010-10,0.041,
2011-01,0.040,
2011-04,0.016,
2011-07,0.017,
2011-10,0.036,
2012-01,0.037,
2012-04,0.013,
2012-07,0.013,
2012-10,0.013,
2013-01,0.013,
2013-04,0.059,
2013-07,0.046,
2013-10,0.044,
2014-01,0.043,
2014-04,0.044,
2014-07,0.048,
