"",BBK01.OEYM04O,BBK01.OEYM04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:52,
2002-01,0.191,
2002-04,0.302,
2002-07,0.011,
2002-10,0.109,
2003-01,0.105,
2003-04,0.310,
2003-07,0.446,
2003-10,0.375,
2004-01,0.204,
2004-04,0.203,
2004-07,0.205,
2004-10,0.149,
2005-01,0.010,
2005-04,0.135,
2005-07,0.123,
2005-10,0.008,
2006-01,0.110,
2006-04,0.355,
2006-07,1.093,
2006-10,1.362,
2007-01,1.072,
2007-04,0.802,
2007-07,0.631,
2007-10,0.533,
2008-01,0.641,
2008-04,0.511,
2008-07,0.356,
2008-10,0.122,
2009-01,0.012,
2009-04,0.035,
2009-07,0.048,
2009-10,0.047,
2010-01,0.047,
2010-04,0.037,
2010-07,0.028,
2010-10,0.230,
2011-01,0.030,
2011-04,0.027,
2011-07,0.026,
2011-10,0.530,
2012-01,0.067,
2012-04,0.061,
2012-07,0.339,
2012-10,0.704,
2013-01,0.390,
2013-04,0.072,
2013-07,0.065,
2013-10,0.578,
2014-01,0.278,
2014-04,0.074,
2014-07,0.074,
