"",BBK01.OEAH96P,BBK01.OEAH96P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:57,
2002-01,0.174,
2002-04,0.165,
2002-07,0.165,
2002-10,0.168,
2003-01,0.173,
2003-04,0.175,
2003-07,0.169,
2003-10,0.176,
2004-01,0.176,
2004-04,0.175,
2004-07,0.168,
2004-10,0.167,
2005-01,0.164,
2005-04,0.148,
2005-07,0.146,
2005-10,0.147,
2006-01,0.141,
2006-04,0.142,
2006-07,0.144,
2006-10,0.143,
2007-01,0.143,
2007-04,0.141,
2007-07,0.133,
2007-10,0.137,
2008-01,0.139,
2008-04,0.138,
2008-07,0.137,
2008-10,0.144,
2009-01,0.145,
2009-04,0.145,
2009-07,0.144,
2009-10,0.150,
2010-01,0.150,
2010-04,0.153,
2010-07,0.155,
2010-10,0.158,
2011-01,0.153,
2011-04,0.153,
2011-07,0.149,
2011-10,0.150,
2012-01,0.151,
2012-04,0.150,
2012-07,0.152,
2012-10,0.158,
2013-01,0.158,
2013-04,0.159,
2013-07,0.158,
2013-10,0.158,
2014-01,0.158,
2014-04,0.154,
2014-07,0.150,
