"",BBK01.OECB21K,BBK01.OECB21K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:25,
2002-01,0.127,
2002-04,0.134,
2002-07,0.115,
2002-10,0.124,
2003-01,0.124,
2003-04,0.114,
2003-07,0.108,
2003-10,0.227,
2004-01,0.188,
2004-04,0.189,
2004-07,0.178,
2004-10,0.172,
2005-01,0.385,
2005-04,0.390,
2005-07,0.387,
2005-10,0.293,
2006-01,0.235,
2006-04,0.274,
2006-07,0.363,
2006-10,0.213,
2007-01,0.205,
2007-04,0.177,
2007-07,0.192,
2007-10,0.165,
2008-01,0.156,
2008-04,0.150,
2008-07,0.020,
2008-10,0.024,
2009-01,0.026,
2009-04,0.126,
2009-07,0.164,
2009-10,0.157,
2010-01,0.154,
2010-04,0.172,
2010-07,0.164,
2010-10,0.189,
2011-01,0.183,
2011-04,0.212,
2011-07,0.215,
2011-10,0.221,
2012-01,0.234,
2012-04,0.230,
2012-07,0.230,
2012-10,0.914,
2013-01,0.900,
2013-04,0.297,
2013-07,0.496,
2013-10,0.387,
2014-01,0.463,
2014-04,0.452,
2014-07,0.404,
