"",BBK01.CEFFIK,BBK01.CEFFIK_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:20,
1999-01,62.2,
1999-04,62.2,
1999-07,62.8,
1999-10,64.7,
2000-01,65.0,
2000-04,65.3,
2000-07,66.3,
2000-10,65.6,
2001-01,66.3,
2001-04,67.0,
2001-07,67.0,
2001-10,67.6,
2002-01,68.1,
2002-04,69.1,
2002-07,69.4,
2002-10,70.7,
2003-01,71.1,
2003-04,71.8,
2003-07,72.4,
2003-10,73.4,
2004-01,73.8,
2004-04,72.5,
2004-07,72.1,
2004-10,71.7,
2005-01,69.5,
2005-04,70.7,
2005-07,69.1,
2005-10,67.6,
2006-01,68.4,
2006-04,69.2,
2006-07,70.3,
2006-10,70.6,
2007-01,70.3,
2007-04,69.2,
2007-07,70.3,
2007-10,70.9,
2008-01,68.9,
2008-04,68.9,
2008-07,68.6,
2008-10,68.0,
2009-01,68.3,
2009-04,68.8,
2009-07,69.5,
2009-10,68.8,
2010-01,68.0,
2010-04,67.9,
2010-07,67.5,
2010-10,67.1,
2011-01,66.7,
2011-04,66.1,
2011-07,66.4,
2011-10,66.1,
2012-01,66.0,
2012-04,66.1,
2012-07,65.8,
2012-10,66.1,
2013-01,66.1,
2013-04,66.1,
2013-07,66.1,
2013-10,65.7,
2014-01,65.8,
2014-04,65.5,
2014-07,65.3,
