"",BBK01.OEAH79G,BBK01.OEAH79G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:35,
2002-01,0.034,
2002-04,0.042,
2002-07,0.038,
2002-10,0.037,
2003-01,0.040,
2003-04,0.046,
2003-07,0.044,
2003-10,0.024,
2004-01,0.024,
2004-04,0.020,
2004-07,0.031,
2004-10,0.033,
2005-01,0.033,
2005-04,0.036,
2005-07,0.030,
2005-10,0.060,
2006-01,0.048,
2006-04,0.051,
2006-07,0.056,
2006-10,0.079,
2007-01,0.065,
2007-04,0.072,
2007-07,0.071,
2007-10,0.075,
2008-01,0.065,
2008-04,0.075,
2008-07,0.074,
2008-10,0.087,
2009-01,0.117,
2009-04,0.109,
2009-07,0.108,
2009-10,0.090,
2010-01,0.065,
2010-04,0.055,
2010-07,0.063,
2010-10,0.068,
2011-01,0.060,
2011-04,0.070,
2011-07,0.073,
2011-10,0.121,
2012-01,0.074,
2012-04,0.073,
2012-07,0.086,
2012-10,0.108,
2013-01,0.092,
2013-04,0.105,
2013-07,0.108,
2013-10,0.111,
2014-01,0.117,
2014-04,0.105,
2014-07,0.097,
