"",BBBPS.Q.DE.N.SG1100.I070.X.X.Z5.0000.Z01.E,BBBPS.Q.DE.N.SG1100.I070.X.X.Z5.0000.Z01.E_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-30 12:31:52,
2008-01,-0.947,
2008-04,3.311,
2008-07,-5.200,
2008-10,-17.345,
2009-01,2.356,
2009-04,1.238,
2009-07,-0.135,
2009-10,-5.246,
2010-01,5.339,
2010-04,2.178,
2010-07,1.319,
2010-10,2.524,
2011-01,6.812,
2011-04,4.235,
2011-07,-0.986,
2011-10,-0.975,
2012-01,4.773,
2012-04,2.362,
2012-07,2.934,
2012-10,-2.624,
2013-01,4.413,
2013-04,3.567,
2013-07,1.004,
2013-10,-2.003,
2014-01,4.405,
2014-04,3.251,
2014-07,1.028,Provisional value
