"",BBK01.OELB13Q,BBK01.OELB13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:59,
2002-01,3.052,
2002-04,3.077,
2002-07,3.081,
2002-10,3.065,
2003-01,3.045,
2003-04,3.059,
2003-07,3.017,
2003-10,2.981,
2004-01,2.946,
2004-04,2.966,
2004-07,2.937,
2004-10,2.866,
2005-01,2.892,
2005-04,2.927,
2005-07,2.932,
2005-10,2.913,
2006-01,2.964,
2006-04,3.012,
2006-07,3.013,
2006-10,2.974,
2007-01,2.992,
2007-04,3.049,
2007-07,3.065,
2007-10,3.082,
2008-01,3.127,
2008-04,3.203,
2008-07,3.243,
2008-10,3.264,
2009-01,3.308,
2009-04,3.400,
2009-07,3.494,
2009-10,3.539,
2010-01,3.620,
2010-04,3.810,
2010-07,3.828,
2010-10,3.811,
2011-01,3.838,
2011-04,3.935,
2011-07,4.026,
2011-10,4.440,
2012-01,4.510,
2012-04,5.059,
2012-07,5.089,
2012-10,5.095,
2013-01,5.157,
2013-04,5.232,
2013-07,5.261,
2013-10,5.267,
2014-01,5.315,
2014-04,5.365,
2014-07,5.359,
