"",BBK01.OELB11H,BBK01.OELB11H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:23,
2002-01,1.177,
2002-04,1.147,
2002-07,1.132,
2002-10,1.119,
2003-01,1.058,
2003-04,1.021,
2003-07,0.966,
2003-10,0.942,
2004-01,0.917,
2004-04,0.906,
2004-07,0.904,
2004-10,0.877,
2005-01,0.848,
2005-04,0.836,
2005-07,0.814,
2005-10,0.832,
2006-01,0.821,
2006-04,0.821,
2006-07,0.824,
2006-10,0.818,
2007-01,0.814,
2007-04,0.804,
2007-07,0.822,
2007-10,0.816,
2008-01,0.826,
2008-04,0.869,
2008-07,0.919,
2008-10,0.942,
2009-01,0.989,
2009-04,1.020,
2009-07,1.030,
2009-10,1.073,
2010-01,1.081,
2010-04,1.092,
2010-07,1.120,
2010-10,1.158,
2011-01,1.161,
2011-04,1.190,
2011-07,1.230,
2011-10,1.316,
2012-01,1.366,
2012-04,1.425,
2012-07,1.439,
2012-10,1.493,
2013-01,1.570,
2013-04,1.666,
2013-07,1.712,
2013-10,1.764,
2014-01,1.778,
2014-04,1.827,
2014-07,1.869,
