"",BBFB1.Q.N.DE.MX.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.MX.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:07,
1991-01,0.311,
1991-04,0.311,
1991-07,0.311,
1991-10,0.311,
1992-01,0.034,
1992-04,0.034,
1992-07,0.034,
1992-10,0.034,
1993-01,0.008,
1993-04,0.008,
1993-07,0.008,
1993-10,0.008,
1994-01,-0.141,
1994-04,-0.141,
1994-07,-0.141,
1994-10,-0.141,
1995-01,0.018,
1995-04,0.018,
1995-07,0.018,
1995-10,0.018,
1996-01,-0.046,
1996-04,-0.046,
1996-07,-0.046,
1996-10,-0.046,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-1.000,
1999-04,-2.000,
1999-07,-2.000,
1999-10,-1.000,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-,Nothing exists
2001-01,-0.264,
2001-04,-0.330,
2001-07,-0.330,
2001-10,-0.264,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,0.000,
2003-10,-,Nothing exists
2004-01,0.000,
2004-04,0.000,
2004-07,0.000,
2004-10,0.000,
2005-01,0.000,
2005-04,0.000,
2005-07,0.000,
2005-10,0.000,
2006-01,2.725,
2006-04,2.932,
2006-07,3.355,
2006-10,3.986,
2007-01,0.640,
2007-04,0.584,
2007-07,0.472,
2007-10,0.305,
2008-01,0.450,
2008-04,-0.250,
2008-07,-1.441,
2008-10,-0.124,
2009-01,0.066,
2009-04,-4.460,
2009-07,1.486,
2009-10,2.907,
2010-01,0.791,
2010-04,-6.000,
2010-07,1.104,
2010-10,1.104,
2011-01,2.219,
2011-04,-7.828,
2011-07,2.226,
2011-10,2.384,
2012-01,2.641,
2012-04,-1.214,
2012-07,2.811,
2012-10,2.720,
2013-01,0.739,
2013-04,0.694,
2013-07,0.672,
2013-10,0.667,
2014-01,0.681,Provisional value
2014-04,0.650,Provisional value
2014-07,0.698,Provisional value
2014-10,0.702,Provisional value
