"",BBK01.CEH7N0,BBK01.CEH7N0_FLAGS
"",Other liabilities debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:41,
1991-01,-1.3,
1991-04,1.6,
1991-07,0.1,
1991-10,-2.1,
1992-01,1.4,
1992-04,-0.8,
1992-07,-27.2,
1992-10,16.5,
1993-01,2.3,
1993-04,-0.7,
1993-07,-10.1,
1993-10,14.9,
1994-01,3.3,
1994-04,-0.3,
1994-07,4.1,
1994-10,-3.4,
1995-01,5.1,
1995-04,1.0,
1995-07,-4.5,
1995-10,-0.7,
1996-01,-3.1,
1996-04,4.3,
1996-07,0.7,
1996-10,7.7,
1997-01,0.3,
1997-04,2.0,
1997-07,0.4,
1997-10,2.8,
1998-01,-5.4,
1998-04,0.0,
1998-07,-9.8,
1998-10,25.1,
1999-01,-3.2,
1999-04,2.0,
1999-07,3.5,
1999-10,5.6,
2000-01,0.1,
2000-04,9.3,
2000-07,4.1,
2000-10,7.5,
2001-01,3.0,
2001-04,2.8,
2001-07,-3.8,
2001-10,-3.9,
2002-01,-10.0,
2002-04,7.2,
2002-07,-9.8,
2002-10,-1.2,
2003-01,-2.3,
2003-04,-0.3,
2003-07,-4.6,
2003-10,2.6,
2004-01,0.7,
2004-04,2.1,
2004-07,-5.8,
2004-10,2.3,
2005-01,-0.8,
2005-04,3.6,
2005-07,-1.2,
2005-10,7.7,
2006-01,12.1,
2006-04,3.7,
2006-07,-1.8,
2006-10,6.4,
2007-01,5.4,
2007-04,-1.1,
2007-07,-2.6,
2007-10,3.3,
2008-01,7.9,
2008-04,3.7,
2008-07,-4.2,
2008-10,-6.7,
2009-01,-20.8,
2009-04,-0.1,
2009-07,-3.0,
2009-10,3.6,
2010-01,5.6,
2010-04,9.7,
2010-07,2.6,
2010-10,2.7,
2011-01,9.0,
2011-04,5.1,
2011-07,1.0,
2011-10,3.9,
2012-01,7.0,
2012-04,2.5,
2012-07,-9.4,
2012-10,-5.4,
2013-01,3.3,
2013-04,3.0,
2013-07,2.8,
2013-10,3.1,
2014-01,-34.1,
