"",BBK01.OEAH90L,BBK01.OEAH90L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:34,
2002-01,0.760,
2002-04,0.455,
2002-07,0.171,
2002-10,0.166,
2003-01,0.580,
2003-04,0.573,
2003-07,0.574,
2003-10,0.578,
2004-01,0.410,
2004-04,1.024,
2004-07,1.543,
2004-10,0.969,
2005-01,1.019,
2005-04,1.395,
2005-07,0.450,
2005-10,0.123,
2006-01,0.276,
2006-04,0.831,
2006-07,0.793,
2006-10,0.968,
2007-01,0.941,
2007-04,1.550,
2007-07,1.387,
2007-10,2.133,
2008-01,1.898,
2008-04,1.534,
2008-07,1.653,
2008-10,2.414,
2009-01,1.445,
2009-04,1.785,
2009-07,1.766,
2009-10,1.562,
2010-01,1.174,
2010-04,0.581,
2010-07,0.533,
2010-10,0.500,
2011-01,0.676,
2011-04,0.364,
2011-07,0.434,
2011-10,0.507,
2012-01,0.621,
2012-04,0.551,
2012-07,0.544,
2012-10,0.580,
2013-01,0.601,
2013-04,0.658,
2013-07,0.365,
2013-10,0.400,
2014-01,0.391,
2014-04,0.298,
2014-07,0.322,
