"",BBK01.OELB05G,BBK01.OELB05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:13,
2002-01,71.929,
2002-04,71.934,
2002-07,71.912,
2002-10,71.962,
2003-01,70.814,
2003-04,70.735,
2003-07,70.854,
2003-10,71.149,
2004-01,70.435,
2004-04,70.648,
2004-07,70.880,
2004-10,69.335,
2005-01,68.922,
2005-04,69.264,
2005-07,69.822,
2005-10,70.646,
2006-01,70.767,
2006-04,71.586,
2006-07,72.208,
2006-10,72.747,
2007-01,72.750,
2007-04,73.362,
2007-07,74.069,
2007-10,75.289,
2008-01,75.378,
2008-04,75.778,
2008-07,76.593,
2008-10,76.955,
2009-01,76.916,
2009-04,77.439,
2009-07,78.188,
2009-10,78.820,
2010-01,78.742,
2010-04,79.674,
2010-07,80.378,
2010-10,81.009,
2011-01,81.541,
2011-04,82.518,
2011-07,83.207,
2011-10,83.881,
2012-01,84.443,
2012-04,88.179,
2012-07,89.827,
2012-10,90.744,
2013-01,91.322,
2013-04,92.491,
2013-07,93.831,
2013-10,94.744,
2014-01,95.250,
2014-04,96.339,
2014-07,97.447,
