"",BBFN1.M.DE.N.1.A.U3.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.U3.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:40,
1995-01,9.459,
1995-02,9.591,
1995-03,9.955,
1995-04,9.866,
1995-05,9.831,
1995-06,10.054,
1995-07,9.430,
1995-08,9.241,
1995-09,9.602,
1995-10,9.505,
1995-11,9.977,
1995-12,8.880,
1996-01,8.709,
1996-02,8.967,
1996-03,9.370,
1996-04,9.088,
1996-05,8.984,
1996-06,9.134,
1996-07,9.002,
1996-08,8.673,
1996-09,8.891,
1996-10,9.319,
1996-11,9.872,
1996-12,9.578,
1997-01,9.047,
1997-02,9.434,
1997-03,9.875,
1997-04,10.072,
1997-05,10.078,
1997-06,10.407,
1997-07,10.157,
1997-08,9.552,
1997-09,10.220,
1997-10,10.910,
1997-11,11.442,
1997-12,9.973,
1998-01,9.931,
1998-02,10.342,
1998-03,10.651,
1998-04,11.119,
1998-05,11.022,
1998-06,11.084,
1998-07,10.571,
1998-08,10.292,
1998-09,10.819,
1998-10,11.224,
1998-11,11.219,
1998-12,10.960,
1999-01,10.476,
1999-02,10.483,
1999-03,11.146,
1999-04,11.063,
1999-05,10.995,
1999-06,11.266,
1999-07,10.823,
1999-08,11.364,
1999-09,12.171,
1999-10,12.305,
1999-11,12.674,
1999-12,12.426,
2000-01,12.016,
2000-02,12.651,
2000-03,13.319,
2000-04,13.133,
2000-05,13.266,
2000-06,13.391,
2000-07,12.888,
2000-08,13.226,
2000-09,13.735,
2000-10,14.048,
2000-11,14.159,
2000-12,13.329,
2001-01,12.030,
2001-02,12.223,
2001-03,12.467,
2001-04,11.988,
2001-05,12.255,
2001-06,12.379,
2001-07,12.723,
2001-08,12.763,
2001-09,12.970,
2001-10,13.375,
2001-11,13.250,
2001-12,12.600,
2002-01,12.271,
2002-02,12.194,
2002-03,12.307,
2002-04,12.549,
2002-05,12.328,
2002-06,13.162,
2002-07,12.118,
2002-08,11.880,
2002-09,12.656,
2002-10,12.967,
2002-11,12.969,
2002-12,12.343,
2003-01,12.260,
2003-02,12.205,
2003-03,12.579,
2003-04,12.928,
2003-05,12.045,
2003-06,12.191,
2003-07,11.759,
2003-08,11.462,
2003-09,12.094,
2003-10,12.119,
2003-11,12.421,
2003-12,11.840,
2004-01,11.604,
2004-02,11.426,
2004-03,12.154,
2004-04,11.720,
2004-05,19.093,
2004-06,19.939,
2004-07,19.060,
2004-08,18.342,
2004-09,19.474,
2004-10,20.772,
2004-11,21.194,
2004-12,19.332,
2005-01,18.853,
2005-02,18.979,
2005-03,20.497,
2005-04,20.170,
2005-05,20.334,
2005-06,20.938,
2005-07,21.376,
2005-08,20.793,
2005-09,22.147,
2005-10,22.269,
2005-11,23.084,
2005-12,21.787,
2006-01,22.259,
2006-02,22.565,
2006-03,23.744,
2006-04,23.100,
2006-05,23.055,
2006-06,23.893,
2006-07,23.626,
2006-08,23.148,
2006-09,24.724,
2006-10,25.343,
2006-11,26.549,
2006-12,25.288,
2007-01,26.404,
2007-02,26.760,
2007-03,27.609,
2007-04,26.743,
2007-05,26.867,
2007-06,27.295,
2007-07,25.885,
2007-08,25.625,
2007-09,26.943,
2007-10,27.755,
2007-11,27.858,
2007-12,26.405,
2008-01,26.091,
2008-02,27.372,
2008-03,28.372,
2008-04,28.725,
2008-05,28.988,
2008-06,30.001,
2008-07,29.323,
2008-08,27.980,
2008-09,28.936,
2008-10,28.625,
2008-11,27.757,
2008-12,25.784,
2009-01,23.100,
2009-02,26.404,
2009-03,27.594,
2009-04,24.495,
2009-05,26.590,
2009-06,28.978,
2009-07,28.771,
2009-08,25.845,
2009-09,26.903,
2009-10,27.738,
2009-11,28.751,
2009-12,26.872,
2010-01,20.594,
2010-02,20.419,
2010-03,22.787,
2010-04,21.707,
2010-05,22.575,
2010-06,23.343,
2010-07,22.568,
2010-08,21.871,
2010-09,24.390,
2010-10,24.844,
2010-11,24.822,
2010-12,24.286,
2011-01,22.595,
2011-02,24.179,
2011-03,24.678,
2011-04,23.891,
2011-05,23.732,
2011-06,23.588,
2011-07,23.364,
2011-08,22.560,
2011-09,24.440,
2011-10,24.345,
2011-11,24.982,
2011-12,24.347,
2012-01,23.578,
2012-02,25.081,
2012-03,26.381,
2012-04,25.131,
2012-05,24.767,
2012-06,25.479,
2012-07,25.176,
2012-08,24.519,
2012-09,25.848,
2012-10,25.808,
2012-11,26.672,
2012-12,25.192,
2013-01,24.258,
2013-02,25.180,
2013-03,26.569,
2013-04,25.232,
2013-05,24.578,
2013-06,25.795,
2013-07,24.496,
2013-08,24.913,
2013-09,27.793,
2013-10,27.594,
2013-11,28.549,
2013-12,26.466,
2014-01,25.845,
2014-02,26.418,
2014-03,28.337,
2014-04,27.905,
2014-05,26.948,
2014-06,28.757,
2014-07,27.609,
2014-08,27.098,
2014-09,29.476,
2014-10,28.850,
2014-11,29.524,
2014-12,27.740,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
