"",BBAI3.Q.DE.N.V.LE.F52.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F52.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Mutual funds shares / units / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:48,
2005-10,84416,
2006-01,86677,
2006-04,86587,
2006-07,90110,
2006-10,92819,
2007-01,95785,
2007-04,99681,
2007-07,102144,
2007-10,105605,
2008-01,101412,
2008-04,99446,
2008-07,97457,
2008-10,95319,
2009-01,97458,
2009-04,102271,
2009-07,107999,
2009-10,109269,
2010-01,115316,
2010-04,120024,
2010-07,127711,
2010-10,144886,
2011-01,148626,
2011-04,152974,
2011-07,155626,
2011-10,160757,
2012-01,168492,
2012-04,171374,
2012-07,179444,
2012-10,186494,
2013-01,191098,
2013-04,190574,
2013-07,194602,
2013-10,202558,
2014-01,206361,
2014-04,214786,
2014-07,219867,
