"",BBFN1.M.DE.N.1.L.U2.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:08,
1995-01,50.808,
1995-02,50.862,
1995-03,52.184,
1995-04,51.907,
1995-05,52.963,
1995-06,52.111,
1995-07,52.764,
1995-08,53.104,
1995-09,54.539,
1995-10,54.519,
1995-11,55.729,
1995-12,54.279,
1996-01,53.829,
1996-02,56.693,
1996-03,54.907,
1996-04,54.673,
1996-05,54.491,
1996-06,54.543,
1996-07,52.879,
1996-08,53.733,
1996-09,56.329,
1996-10,56.072,
1996-11,58.589,
1996-12,58.622,
1997-01,55.121,
1997-02,57.978,
1997-03,59.843,
1997-04,59.708,
1997-05,60.952,
1997-06,62.096,
1997-07,63.020,
1997-08,62.792,
1997-09,64.574,
1997-10,66.068,
1997-11,65.704,
1997-12,68.625,
1998-01,69.305,
1998-02,70.313,
1998-03,73.041,
1998-04,72.947,
1998-05,73.635,
1998-06,72.752,
1998-07,75.593,
1998-08,75.334,
1998-09,76.938,
1998-10,79.060,
1998-11,78.819,
1998-12,78.983,
1999-01,80.840,
1999-02,81.794,
1999-03,83.608,
1999-04,84.971,
1999-05,89.635,
1999-06,94.207,
1999-07,100.231,
1999-08,103.603,
1999-09,104.974,
1999-10,109.805,
1999-11,109.997,
1999-12,126.880,
2000-01,132.271,
2000-02,133.274,
2000-03,134.372,
2000-04,128.325,
2000-05,126.279,
2000-06,133.256,
2000-07,145.674,
2000-08,158.595,
2000-09,178.799,
2000-10,181.730,
2000-11,177.656,
2000-12,219.293,
2001-01,221.633,
2001-02,222.387,
2001-03,225.210,
2001-04,227.594,
2001-05,231.271,
2001-06,239.524,
2001-07,249.347,
2001-08,251.676,
2001-09,258.449,
2001-10,257.587,
2001-11,260.617,
2001-12,264.072,
2002-01,271.522,
2002-02,278.322,
2002-03,272.740,
2002-04,279.585,
2002-05,300.089,
2002-06,296.893,
2002-07,298.326,
2002-08,298.433,
2002-09,302.309,
2002-10,304.526,
2002-11,306.082,
2002-12,301.229,
2003-01,302.660,
2003-02,304.949,
2003-03,297.607,
2003-04,301.335,
2003-05,306.972,
2003-06,311.661,
2003-07,313.169,
2003-08,315.561,
2003-09,313.800,
2003-10,313.605,
2003-11,318.619,
2003-12,308.642,
2004-01,312.434,
2004-02,285.029,
2004-03,290.676,
2004-04,287.753,
2004-05,291.808,
2004-06,295.879,
2004-07,297.529,
2004-08,295.375,
2004-09,289.313,
2004-10,281.644,
2004-11,279.355,
2004-12,273.155,
2005-01,276.323,
2005-02,278.787,
2005-03,279.748,
2005-04,279.094,
2005-05,282.902,
2005-06,282.934,
2005-07,277.656,
2005-08,278.520,
2005-09,279.081,
2005-10,288.975,
2005-11,290.385,
2005-12,297.926,
2006-01,299.871,
2006-02,308.591,
2006-03,310.082,
2006-04,310.295,
2006-05,320.403,
2006-06,322.146,
2006-07,322.054,
2006-08,327.984,
2006-09,337.013,
2006-10,335.692,
2006-11,337.734,
2006-12,331.056,
2007-01,342.215,
2007-02,343.987,
2007-03,343.267,
2007-04,345.011,
2007-05,343.326,
2007-06,346.981,
2007-07,348.066,
2007-08,345.980,
2007-09,345.565,
2007-10,340.049,
2007-11,337.932,
2007-12,325.727,
2008-01,334.843,
2008-02,340.646,
2008-03,340.218,
2008-04,350.399,
2008-05,352.580,
2008-06,349.259,
2008-07,348.160,
2008-08,347.283,
2008-09,354.929,
2008-10,356.770,
2008-11,362.626,
2008-12,371.796,
2009-01,380.850,
2009-02,393.270,
2009-03,393.663,
2009-04,398.329,
2009-05,400.976,
2009-06,405.518,
2009-07,405.278,
2009-08,408.190,
2009-09,408.974,
2009-10,411.054,
2009-11,410.085,
2009-12,424.072,
2010-01,415.450,
2010-02,416.457,
2010-03,416.075,
2010-04,418.658,
2010-05,423.402,
2010-06,424.305,
2010-07,430.260,
2010-08,438.624,
2010-09,444.380,
2010-10,435.166,
2010-11,440.224,
2010-12,449.529,
2011-01,450.288,
2011-02,446.980,
2011-03,446.472,
2011-04,451.763,
2011-05,459.100,
2011-06,467.294,
2011-07,482.094,
2011-08,483.089,
2011-09,493.807,
2011-10,477.698,
2011-11,477.894,
2011-12,474.725,
2012-01,486.386,
2012-02,484.969,
2012-03,489.388,
2012-04,494.400,
2012-05,503.866,
2012-06,508.839,
2012-07,502.993,
2012-08,500.221,
2012-09,511.809,
2012-10,514.660,
2012-11,520.755,
2012-12,518.538,
2013-01,520.821,
2013-02,516.717,
2013-03,537.771,
2013-04,558.940,
2013-05,561.738,
2013-06,566.804,
2013-07,561.736,
2013-08,555.577,
2013-09,559.231,
2013-10,561.966,
2013-11,559.895,
2013-12,540.459,
2014-01,547.112,
2014-02,549.207,
2014-03,551.867,
2014-04,557.356,
2014-05,558.719,
2014-06,570.983,
2014-07,575.230,
2014-08,569.694,
2014-09,554.806,
2014-10,549.553,
2014-11,558.108,
2014-12,536.639,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
