"",BBFB1.Q.N.DE.AT.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:25,
1991-01,1723.214,
1991-04,1597.470,
1991-07,1738.249,
1991-10,1706.661,
1992-01,1474.127,
1992-04,1514.239,
1992-07,1732.477,
1992-10,1698.298,
1993-01,1701.876,
1993-04,1325.103,
1993-07,1305.839,
1993-10,1435.824,
1994-01,1227.967,
1994-04,1668.569,
1994-07,1270.799,
1994-10,1433.480,
1995-01,2141.157,
1995-04,1717.807,
1995-07,2093.843,
1995-10,2024.536,
1996-01,2389.582,
1996-04,2232.214,
1996-07,2270.954,
1996-10,2431.496,
1997-01,2175.638,
1997-04,2123.931,
1997-07,2181.092,
1997-10,2277.947,
1998-01,2311.162,
1998-04,2384.948,
1998-07,2402.370,
1998-10,2252.767,
1999-01,2179.436,
1999-04,2415.715,
1999-07,2602.246,
1999-10,2781.079,
2000-01,2888.506,
2000-04,3061.842,
2000-07,2923.968,
2000-10,3327.568,
2001-01,3620.058,
2001-04,2928.903,
2001-07,3014.894,
2001-10,3269.233,
2002-01,3122.948,
2002-04,3118.101,
2002-07,3235.507,
2002-10,3391.591,
2003-01,3172.194,
2003-04,3423.887,
2003-07,3842.581,
2003-10,4189.514,
2004-01,3967.324,
2004-04,3864.261,
2004-07,3963.952,
2004-10,4490.557,
2005-01,4007.165,
2005-04,4149.880,
2005-07,4477.927,
2005-10,4674.809,
2006-01,4871.333,
2006-04,4556.237,
2006-07,4725.091,
2006-10,4500.103,
2007-01,5081.867,
2007-04,5072.950,
2007-07,5006.718,
2007-10,5001.285,
2008-01,5140.987,
2008-04,5341.024,
2008-07,4827.759,
2008-10,4999.090,
2009-01,4218.526,
2009-04,4244.119,
2009-07,4767.315,
2009-10,4307.477,
2010-01,4704.051,
2010-04,4460.551,
2010-07,4848.294,
2010-10,4810.424,
2011-01,5300.779,
2011-04,4972.022,
2011-07,5291.634,
2011-10,4977.982,
2012-01,5448.079,
2012-04,4874.367,
2012-07,4912.895,
2012-10,4723.411,
2013-01,4682.583,
2013-04,4771.147,
2013-07,4946.213,
2013-10,4574.081,
2014-01,4794.732,Provisional value
2014-04,4551.683,Provisional value
2014-07,4933.790,Provisional value
