"",BBK01.OECB19H,BBK01.OECB19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:57,
2002-01,0.668,
2002-04,0.636,
2002-07,0.617,
2002-10,0.592,
2003-01,0.602,
2003-04,0.606,
2003-07,0.616,
2003-10,0.572,
2004-01,0.556,
2004-04,0.674,
2004-07,0.680,
2004-10,0.662,
2005-01,0.739,
2005-04,0.733,
2005-07,0.727,
2005-10,0.833,
2006-01,0.828,
2006-04,0.803,
2006-07,0.874,
2006-10,0.760,
2007-01,0.718,
2007-04,0.706,
2007-07,0.615,
2007-10,0.577,
2008-01,0.539,
2008-04,0.511,
2008-07,0.486,
2008-10,0.442,
2009-01,0.420,
2009-04,0.397,
2009-07,0.440,
2009-10,0.371,
2010-01,0.364,
2010-04,0.381,
2010-07,0.404,
2010-10,0.408,
2011-01,0.395,
2011-04,0.384,
2011-07,0.391,
2011-10,0.400,
2012-01,0.382,
2012-04,0.390,
2012-07,0.396,
2012-10,0.384,
2013-01,0.386,
2013-04,0.385,
2013-07,0.377,
2013-10,0.373,
2014-01,0.367,
2014-04,0.357,
2014-07,0.376,
