"",BBK01.OEYL01O,BBK01.OEYL01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:56,
2002-01,5.634,
2002-04,5.651,
2002-07,5.764,
2002-10,6.095,
2003-01,6.426,
2003-04,6.541,
2003-07,6.690,
2003-10,6.964,
2004-01,7.362,
2004-04,7.460,
2004-07,7.627,
2004-10,8.049,
2005-01,8.365,
2005-04,8.515,
2005-07,8.704,
2005-10,8.919,
2006-01,9.097,
2006-04,9.192,
2006-07,9.256,
2006-10,9.426,
2007-01,9.427,
2007-04,9.329,
2007-07,9.250,
2007-10,9.522,
2008-01,9.824,
2008-04,9.859,
2008-07,9.767,
2008-10,9.965,
2009-01,10.180,
2009-04,10.112,
2009-07,10.304,
2009-10,10.596,
2010-01,10.948,
2010-04,10.880,
2010-07,10.789,
2010-10,10.815,
2011-01,10.753,
2011-04,10.724,
2011-07,10.661,
2011-10,10.856,
2012-01,11.082,
2012-04,11.109,
2012-07,11.136,
2012-10,11.272,
2013-01,11.267,
2013-04,11.163,
2013-07,11.123,
2013-10,11.233,
2014-01,11.181,
2014-04,11.141,
2014-07,11.195,
