"",BBK01.OECI03L,BBK01.OECI03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:34,
2002-01,114.119,
2002-04,106.329,
2002-07,104.510,
2002-10,88.512,
2003-01,111.205,
2003-04,105.500,
2003-07,120.132,
2003-10,108.935,
2004-01,104.939,
2004-04,93.431,
2004-07,111.429,
2004-10,129.860,
2005-01,119.320,
2005-04,122.484,
2005-07,123.782,
2005-10,116.979,
2006-01,114.250,
2006-04,114.268,
2006-07,124.801,
2006-10,118.071,
2007-01,111.399,
2007-04,116.085,
2007-07,105.623,
2007-10,124.207,
2008-01,127.915,
2008-04,111.539,
2008-07,103.884,
2008-10,101.706,
2009-01,88.546,
2009-04,82.855,
2009-07,83.980,
2009-10,76.992,
2010-01,71.843,
2010-04,75.411,
2010-07,78.303,
2010-10,75.972,
2011-01,68.837,
2011-04,87.972,
2011-07,82.707,
2011-10,76.118,
2012-01,70.745,
2012-04,70.731,
2012-07,70.648,
2012-10,76.223,
2013-01,85.512,
2013-04,104.674,
2013-07,71.276,
2013-10,83.727,
2014-01,74.558,
2014-04,71.014,
2014-07,83.930,
