"",BBK01.OEBI09I,BBK01.OEBI09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:07,
2002-01,1.066,
2002-04,1.029,
2002-07,1.055,
2002-10,1.024,
2003-01,0.912,
2003-04,0.849,
2003-07,0.749,
2003-10,0.727,
2004-01,0.671,
2004-04,0.632,
2004-07,0.595,
2004-10,0.580,
2005-01,0.618,
2005-04,0.597,
2005-07,0.541,
2005-10,0.530,
2006-01,0.523,
2006-04,0.562,
2006-07,0.625,
2006-10,0.748,
2007-01,1.032,
2007-04,1.149,
2007-07,1.279,
2007-10,1.463,
2008-01,1.532,
2008-04,1.601,
2008-07,1.683,
2008-10,2.063,
2009-01,1.968,
2009-04,1.947,
2009-07,1.904,
2009-10,1.552,
2010-01,1.361,
2010-04,1.359,
2010-07,1.801,
2010-10,1.987,
2011-01,2.237,
2011-04,2.331,
2011-07,2.375,
2011-10,2.307,
2012-01,2.161,
2012-04,2.085,
2012-07,1.909,
2012-10,1.672,
2013-01,1.475,
2013-04,1.306,
2013-07,1.201,
2013-10,1.159,
2014-01,1.111,
2014-04,1.062,
2014-07,1.257,
