"",BBFB1.Q.N.DE.CA.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:44,
1991-01,305.882,
1991-04,292.328,
1991-07,284.338,
1991-10,261.750,
1992-01,301.151,
1992-04,285.961,
1992-07,210.989,
1992-10,255.777,
1993-01,256.096,
1993-04,312.903,
1993-07,336.506,
1993-10,346.850,
1994-01,215.808,
1994-04,287.151,
1994-07,283.037,
1994-10,283.335,
1995-01,290.334,
1995-04,248.952,
1995-07,277.897,
1995-10,248.417,
1996-01,230.132,
1996-04,283.722,
1996-07,240.580,
1996-10,237.669,
1997-01,261.735,
1997-04,237.011,
1997-07,230.090,
1997-10,208.351,
1998-01,204.742,
1998-04,181.872,
1998-07,147.222,
1998-10,242.020,
1999-01,75.510,
1999-04,67.173,
1999-07,76.490,
1999-10,79.013,
2000-01,38.038,
2000-04,46.436,
2000-07,51.763,
2000-10,177.724,
2001-01,213.106,
2001-04,308.661,
2001-07,343.247,
2001-10,369.427,
2002-01,218.189,
2002-04,205.455,
2002-07,165.960,
2002-10,149.413,
2003-01,151.711,
2003-04,150.983,
2003-07,148.998,
2003-10,164.887,
2004-01,296.543,
2004-04,245.753,
2004-07,297.204,
2004-10,303.508,
2005-01,210.118,
2005-04,201.974,
2005-07,227.661,
2005-10,238.873,
2006-01,349.401,
2006-04,269.662,
2006-07,384.121,
2006-10,395.350,
2007-01,430.261,
2007-04,375.188,
2007-07,369.969,
2007-10,278.006,
2008-01,445.130,
2008-04,197.903,
2008-07,172.318,
2008-10,309.767,
2009-01,414.830,
2009-04,366.511,
2009-07,347.261,
2009-10,277.944,
2010-01,365.693,
2010-04,351.421,
2010-07,350.659,
2010-10,389.727,
2011-01,389.868,
2011-04,369.955,
2011-07,392.769,
2011-10,411.584,
2012-01,406.996,
2012-04,391.977,
2012-07,398.883,
2012-10,401.509,
2013-01,357.558,
2013-04,304.493,
2013-07,345.805,
2013-10,349.618,
2014-01,339.763,Provisional value
2014-04,334.835,Provisional value
2014-07,336.195,Provisional value
