"",BBK01.OEAF39H,BBK01.OEAF39H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:31,
2002-01,0.524,
2002-04,0.511,
2002-07,0.502,
2002-10,0.511,
2003-01,0.527,
2003-04,0.524,
2003-07,0.481,
2003-10,0.473,
2004-01,0.457,
2004-04,0.440,
2004-07,0.432,
2004-10,0.396,
2005-01,0.394,
2005-04,0.386,
2005-07,0.364,
2005-10,0.333,
2006-01,0.336,
2006-04,0.335,
2006-07,0.352,
2006-10,0.344,
2007-01,0.415,
2007-04,0.406,
2007-07,0.395,
2007-10,0.354,
2008-01,0.388,
2008-04,0.397,
2008-07,0.390,
2008-10,0.391,
2009-01,0.383,
2009-04,0.367,
2009-07,0.366,
2009-10,0.362,
2010-01,0.365,
2010-04,0.382,
2010-07,0.388,
2010-10,0.386,
2011-01,0.405,
2011-04,0.393,
2011-07,0.404,
2011-10,0.401,
2012-01,0.417,
2012-04,0.416,
2012-07,0.409,
2012-10,0.405,
2013-01,0.422,
2013-04,0.422,
2013-07,0.418,
2013-10,0.415,
2014-01,0.400,
2014-04,0.404,
2014-07,0.463,
