"",BBK01.OEAH32U,BBK01.OEAH32U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:22,
2002-01,1.104,
2002-04,0.984,
2002-07,0.994,
2002-10,1.020,
2003-01,0.963,
2003-04,0.871,
2003-07,0.925,
2003-10,0.928,
2004-01,0.892,
2004-04,0.749,
2004-07,0.771,
2004-10,0.795,
2005-01,0.696,
2005-04,0.699,
2005-07,0.733,
2005-10,0.808,
2006-01,0.809,
2006-04,0.802,
2006-07,0.875,
2006-10,0.941,
2007-01,1.061,
2007-04,1.085,
2007-07,1.224,
2007-10,1.282,
2008-01,1.396,
2008-04,1.452,
2008-07,1.545,
2008-10,1.317,
2009-01,1.103,
2009-04,1.068,
2009-07,0.852,
2009-10,0.755,
2010-01,0.765,
2010-04,0.714,
2010-07,0.675,
2010-10,0.737,
2011-01,0.845,
2011-04,0.917,
2011-07,0.955,
2011-10,1.210,
2012-01,1.370,
2012-04,1.257,
2012-07,1.219,
2012-10,1.108,
2013-01,0.990,
2013-04,1.013,
2013-07,1.011,
2013-10,0.926,
2014-01,1.099,
2014-04,1.114,
2014-07,0.867,
