"",BBK01.OEAE08M,BBK01.OEAE08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:21,
2002-01,2.612,
2002-04,3.052,
2002-07,3.043,
2002-10,2.967,
2003-01,2.965,
2003-04,3.118,
2003-07,3.092,
2003-10,2.971,
2004-01,2.743,
2004-04,2.954,
2004-07,2.927,
2004-10,3.184,
2005-01,3.098,
2005-04,3.036,
2005-07,3.135,
2005-10,3.045,
2006-01,3.066,
2006-04,2.830,
2006-07,2.649,
2006-10,2.715,
2007-01,2.611,
2007-04,2.892,
2007-07,2.792,
2007-10,2.750,
2008-01,2.789,
2008-04,2.594,
2008-07,2.516,
2008-10,3.134,
2009-01,3.124,
2009-04,2.673,
2009-07,2.339,
2009-10,2.443,
2010-01,0.958,
2010-04,0.875,
2010-07,0.847,
2010-10,0.859,
2011-01,0.847,
2011-04,0.807,
2011-07,0.817,
2011-10,0.836,
2012-01,0.823,
2012-04,0.865,
2012-07,0.879,
2012-10,0.900,
2013-01,0.836,
2013-04,0.790,
2013-07,0.740,
2013-10,1.667,
2014-01,1.678,
2014-04,1.632,
2014-07,1.651,
