"",BBSF2.M.1.P.00000.IMM01.I.F.UBS.DE.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.UBS.DE.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Properties / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:30,
2009-09,280,
2009-10,285,
2009-11,288,
2009-12,287,
2010-01,240,
2010-02,240,
2010-03,256,
2010-04,285,
2010-05,285,
2010-06,287,
2010-07,287,
2010-08,283,
2010-09,221,
2010-10,225,
2010-11,232,
2010-12,234,
2011-01,235,
2011-02,230,
2011-03,241,
2011-04,252,
2011-05,257,
2011-06,580,
2011-07,589,
2011-08,605,
2011-09,627,
2011-10,500,
2011-11,483,
2011-12,491,
2012-01,495,
2012-02,528,
2012-03,551,
2012-04,543,
2012-05,534,
2012-06,549,
2012-07,563,
2012-08,569,
2012-09,351,
2012-10,367,
2012-11,373,
2012-12,379,
2013-01,326,
2013-02,332,
2013-03,347,
2013-04,394,
2013-05,164,
2013-06,165,
2013-07,167,
2013-08,171,
2013-09,118,
2013-10,119,
2013-11,96,
2013-12,97,
2014-01,96,
2014-02,98,
2014-03,99,
2014-04,101,
2014-05,103,
2014-06,97,
2014-07,117,
2014-08,128,
2014-09,128,
2014-10,134,
2014-11,151,
