"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.AU.00000.F05100.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.AU.00000.F05100.Z01.00_FLAGS
"",Public funds / Funds total / Shares / Australia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:31,
2009-09,640,
2009-10,654,
2009-11,661,
2009-12,662,
2010-01,636,
2010-02,670,
2010-03,772,
2010-04,771,
2010-05,710,
2010-06,736,
2010-07,757,
2010-08,784,
2010-09,860,
2010-10,875,
2010-11,910,
2010-12,972,
2011-01,887,
2011-02,917,
2011-03,954,
2011-04,981,
2011-05,1001,
2011-06,938,
2011-07,956,
2011-08,829,
2011-09,717,
2011-10,844,
2011-11,809,
2011-12,796,
2012-01,913,
2012-02,985,
2012-03,953,
2012-04,950,
2012-05,843,
2012-06,845,
2012-07,877,
2012-08,840,
2012-09,851,
2012-10,871,
2012-11,799,
2012-12,813,
2013-01,827,
2013-02,898,
2013-03,867,
2013-04,850,
2013-05,739,
2013-06,671,
2013-07,667,
2013-08,687,
2013-09,718,
2013-10,767,
2013-11,740,
2013-12,721,
2014-01,662,
2014-02,701,
2014-03,735,
2014-04,770,
2014-05,838,
2014-06,866,
2014-07,932,
2014-08,941,
2014-09,850,
2014-10,863,
2014-11,802,
