"",BBFB1.Q.N.DE.HU.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:03,
1991-01,-67.630,
1991-04,-96.657,
1991-07,-191.364,
1991-10,-73.980,
1992-01,-71.297,
1992-04,-123.576,
1992-07,-229.672,
1992-10,-90.119,
1993-01,-64.152,
1993-04,-147.136,
1993-07,-263.990,
1993-10,-114.265,
1994-01,-84.976,
1994-04,-171.677,
1994-07,-282.573,
1994-10,-118.428,
1995-01,-101.367,
1995-04,-165.302,
1995-07,-277.732,
1995-10,-129.881,
1996-01,-152.406,
1996-04,-247.660,
1996-07,-382.014,
1996-10,-175.412,
1997-01,-156.284,
1997-04,-280.991,
1997-07,-413.040,
1997-10,-206.296,
1998-01,-137.636,
1998-04,-261.066,
1998-07,-394.155,
1998-10,-170.306,
1999-01,-136.593,
1999-04,-259.940,
1999-07,-414.455,
1999-10,-178.705,
2000-01,-172.728,
2000-04,-313.986,
2000-07,-490.734,
2000-10,-225.300,
2001-01,-172.888,
2001-04,-326.828,
2001-07,-540.840,
2001-10,-204.452,
2002-01,-195.999,
2002-04,-307.011,
2002-07,-457.719,
2002-10,-120.778,
2003-01,-141.042,
2003-04,-317.987,
2003-07,-474.817,
2003-10,-59.542,
2004-01,-127.455,
2004-04,-432.561,
2004-07,-357.278,
2004-10,107.708,
2005-01,-65.356,
2005-04,-320.197,
2005-07,-314.664,
2005-10,-112.130,
2006-01,-71.527,
2006-04,-243.887,
2006-07,-595.212,
2006-10,-8.620,
2007-01,-171.876,
2007-04,-355.718,
2007-07,-486.486,
2007-10,-119.422,
2008-01,-82.089,
2008-04,-256.216,
2008-07,-600.110,
2008-10,-15.797,
2009-01,-83.244,
2009-04,-199.432,
2009-07,-357.950,
2009-10,-139.817,
2010-01,-109.129,
2010-04,-245.664,
2010-07,-360.915,
2010-10,-127.668,
2011-01,-38.022,
2011-04,-177.842,
2011-07,-441.823,
2011-10,-7.314,
2012-01,-131.123,
2012-04,-107.941,
2012-07,-259.201,
2012-10,-138.343,
2013-01,-118.012,
2013-04,-110.196,
2013-07,-301.649,
2013-10,8.868,
2014-01,-41.446,Provisional value
2014-04,-44.992,Provisional value
2014-07,-302.352,Provisional value
