"",BBNZ1.A.DE.N.H.0110.L,BBNZ1.A.DE.N.H.0110.L_FLAGS
"","Germany / National accounts / Use of gross domestic product / Exports of goods and services (price adjusted) 1, 2, 3",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:42:45,
1960,5.76,
1961,6.05,
1962,6.22,
1963,6.71,
1964,7.26,
1965,7.73,
1966,8.50,
1967,9.16,
1968,10.32,
1969,11.28,
1970,12.06,
1971,12.34,
1972,13.11,
1973,14.51,
1974,16.22,
1975,15.23,
1976,16.79,
1977,17.47,
1978,17.95,
1979,18.84,
1980,19.87,
1981,21.30,
1982,22.09,
1983,21.98,
1984,23.93,
1985,25.71,
1986,25.41,
1987,25.60,
1988,27.04,
1989,29.82,
1990,33.21,
1991,36.87,
1992,36.74,
1993,34.56,
1994,37.27,
1995,39.72,
1996,42.06,
1997,47.21,
1998,50.85,
1999,53.57,
2000,60.97,
2001,64.45,
2002,67.19,
2003,68.47,
2004,76.31,
2005,81.39,
2006,91.39,
2007,99.90,
2008,101.84,
2009,87.31,
2010,100.00,
2011,108.01,
2012,111.05,
2013,112.80,
2014,117.15,
"","General: 1 Source of the original data: Federal Statistical Office. - 2 Territorial definition: Germany as of 1991, prior to that western Germany. Linked over annual average of 1991 (Bundesbank calculation). - 3 Methodology: At constant prices prior to 1970, at previous-year prices as of 1970. Figures at previous-year prices are chain-linked Laspeyres indices (annual overlap). As of 1970 up to the end of 1990, data basis according to ESA 1995. As of 1991, data basis according to ESA 2010.",
