"",BBK01.OELB11K,BBK01.OELB11K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:50,
2002-01,0.047,
2002-04,0.063,
2002-07,0.074,
2002-10,0.057,
2003-01,0.053,
2003-04,0.048,
2003-07,0.062,
2003-10,0.056,
2004-01,0.054,
2004-04,0.051,
2004-07,0.045,
2004-10,0.036,
2005-01,0.034,
2005-04,0.033,
2005-07,0.033,
2005-10,0.030,
2006-01,0.028,
2006-04,0.027,
2006-07,0.031,
2006-10,0.033,
2007-01,0.034,
2007-04,0.030,
2007-07,0.024,
2007-10,0.026,
2008-01,0.024,
2008-04,0.035,
2008-07,0.035,
2008-10,0.041,
2009-01,0.045,
2009-04,0.043,
2009-07,0.038,
2009-10,0.043,
2010-01,0.042,
2010-04,0.032,
2010-07,0.032,
2010-10,0.030,
2011-01,0.031,
2011-04,0.066,
2011-07,0.065,
2011-10,0.072,
2012-01,0.071,
2012-04,0.072,
2012-07,0.079,
2012-10,0.075,
2013-01,0.078,
2013-04,0.079,
2013-07,0.085,
2013-10,0.077,
2014-01,0.075,
2014-04,0.071,
2014-07,0.067,
