"",BBK01.OEAH84Q,BBK01.OEAH84Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:27,
2002-01,1.040,
2002-04,1.024,
2002-07,1.031,
2002-10,1.037,
2003-01,1.144,
2003-04,1.123,
2003-07,1.095,
2003-10,1.091,
2004-01,1.056,
2004-04,0.983,
2004-07,0.985,
2004-10,0.996,
2005-01,0.820,
2005-04,0.760,
2005-07,0.735,
2005-10,0.792,
2006-01,0.788,
2006-04,0.797,
2006-07,0.807,
2006-10,0.840,
2007-01,0.832,
2007-04,0.830,
2007-07,0.852,
2007-10,0.883,
2008-01,0.876,
2008-04,0.875,
2008-07,0.905,
2008-10,0.928,
2009-01,0.896,
2009-04,0.889,
2009-07,0.892,
2009-10,0.906,
2010-01,0.892,
2010-04,0.877,
2010-07,0.895,
2010-10,0.904,
2011-01,0.896,
2011-04,0.885,
2011-07,0.895,
2011-10,0.912,
2012-01,0.893,
2012-04,0.883,
2012-07,0.903,
2012-10,0.907,
2013-01,0.968,
2013-04,0.958,
2013-07,0.529,
2013-10,0.626,
2014-01,0.666,
2014-04,0.644,
2014-07,0.651,
