"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign affiliated enterprises arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:02,
1971-12,0.966,
1972-01,0.958,
1972-02,0.957,
1972-03,0.921,
1972-04,0.923,
1972-05,0.929,
1972-06,0.933,
1972-07,0.949,
1972-08,0.918,
1972-09,0.964,
1972-10,0.983,
1972-11,0.989,
1972-12,1.067,
1973-01,1.038,
1973-02,1.012,
1973-03,0.997,
1973-04,1.096,
1973-05,1.085,
1973-06,1.086,
1973-07,1.103,
1973-08,1.133,
1973-09,1.114,
1973-10,1.118,
1973-11,1.103,
1973-12,1.096,
1974-01,1.092,
1974-02,1.104,
1974-03,1.130,
1974-04,1.131,
1974-05,1.141,
1974-06,1.187,
1974-07,1.218,
1974-08,1.249,
1974-09,1.286,
1974-10,1.306,
1974-11,1.344,
1974-12,1.421,
1975-01,1.481,
1975-02,1.498,
1975-03,1.546,
1975-04,1.554,
1975-05,1.587,
1975-06,1.623,
1975-07,1.683,
1975-08,1.696,
1975-09,1.684,
1975-10,1.707,
1975-11,1.722,
1975-12,1.752,
1976-01,1.758,
1976-02,1.755,
1976-03,1.768,
1976-04,1.785,
1976-05,1.851,
1976-06,1.885,
1976-07,1.887,
1976-08,1.952,
1976-09,1.938,
1976-10,1.823,
1976-11,1.877,
1976-12,1.945,
1977-01,1.916,
1977-02,1.919,
1977-03,1.965,
1977-04,1.984,
1977-05,2.000,
1977-06,2.010,
1977-07,2.133,
1977-08,2.208,
1977-09,2.290,
1977-10,2.274,
1977-11,2.283,
1977-12,2.250,
1978-01,2.235,
1978-02,2.249,
1978-03,2.297,
1978-04,2.382,
1978-05,2.407,
1978-06,2.387,
1978-07,2.447,
1978-08,2.474,
1978-09,2.482,
1978-10,2.461,
1978-11,2.199,
1978-12,2.262,
1979-01,2.345,
1979-02,2.460,
1979-03,2.498,
1979-04,2.375,
1979-05,2.409,
1979-06,2.446,
1979-07,2.496,
1979-08,2.466,
1979-09,2.485,
1979-10,2.454,
1979-11,2.418,
1979-12,2.524,
1980-01,2.620,
1980-02,2.683,
1980-03,2.712,
1980-04,2.727,
1980-05,2.726,
1980-06,2.670,
1980-07,2.658,
1980-08,2.584,
1980-09,2.596,
1980-10,2.693,
1980-11,2.651,
1980-12,2.617,
1981-01,2.664,
1981-02,2.734,
1981-03,2.763,
1981-04,2.809,
1981-05,2.817,
1981-06,2.869,
1981-07,2.876,
1981-08,2.965,
1981-09,2.884,
1981-10,2.958,
1981-11,2.915,
1981-12,3.086,
1982-01,3.137,
1982-02,3.366,
1982-03,3.442,
1982-04,3.489,
1982-05,3.510,
1982-06,3.556,
1982-07,3.557,
1982-08,3.666,
1982-09,3.641,
1982-10,3.732,
1982-11,3.780,
1982-12,3.879,
1983-01,3.915,
1983-02,4.145,
1983-03,4.275,
1983-04,4.225,
1983-05,4.065,
1983-06,4.041,
1983-07,4.049,
1983-08,4.134,
1983-09,4.070,
1983-10,4.026,
1983-11,4.056,
1983-12,4.072,
1984-01,4.094,
1984-02,4.111,
1984-03,4.101,
1984-04,4.139,
1984-05,4.291,
1984-06,4.275,
1984-07,4.345,
1984-08,4.339,
1984-09,4.271,
1984-10,4.354,
1984-11,4.333,
1984-12,4.328,
1985-01,4.361,
1985-02,4.375,
1985-03,4.682,
1985-04,4.713,
1985-05,4.661,
1985-06,4.727,
1985-07,4.801,
1985-08,4.706,
1985-09,4.815,
1985-10,5.069,
1985-11,5.331,
1985-12,5.571,
