"",BBK01.OEGL03I,BBK01.OEGL03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:17,
2002-01,1.921,
2002-04,1.811,
2002-07,1.840,
2002-10,1.800,
2003-01,1.746,
2003-04,1.582,
2003-07,1.852,
2003-10,1.784,
2004-01,1.926,
2004-04,1.477,
2004-07,0.489,
2004-10,0.449,
2005-01,0.446,
2005-04,0.438,
2005-07,0.430,
2005-10,0.440,
2006-01,0.412,
2006-04,0.398,
2006-07,0.409,
2006-10,0.278,
2007-01,0.329,
2007-04,0.367,
2007-07,0.467,
2007-10,0.531,
2008-01,0.583,
2008-04,0.609,
2008-07,0.607,
2008-10,0.540,
2009-01,0.267,
2009-04,0.237,
2009-07,0.211,
2009-10,0.203,
2010-01,0.199,
2010-04,0.190,
2010-07,0.192,
2010-10,0.193,
2011-01,0.192,
2011-04,0.208,
2011-07,0.232,
2011-10,0.259,
2012-01,0.215,
2012-04,0.208,
2012-07,0.193,
2012-10,0.178,
2013-01,0.174,
2013-04,0.165,
2013-07,0.156,
2013-10,0.160,
2014-01,0.167,
2014-04,0.169,
2014-07,0.167,
