"",BBK01.OECI08O,BBK01.OECI08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:09,
2002-01,0.637,
2002-04,0.449,
2002-07,0.438,
2002-10,0.494,
2003-01,0.545,
2003-04,0.554,
2003-07,0.693,
2003-10,0.731,
2004-01,0.726,
2004-04,0.737,
2004-07,0.889,
2004-10,0.941,
2005-01,2.323,
2005-04,2.307,
2005-07,2.240,
2005-10,2.201,
2006-01,2.143,
2006-04,2.081,
2006-07,2.006,
2006-10,1.963,
2007-01,1.991,
2007-04,1.959,
2007-07,1.898,
2007-10,1.903,
2008-01,1.902,
2008-04,1.965,
2008-07,1.892,
2008-10,1.882,
2009-01,1.944,
2009-04,2.085,
2009-07,2.230,
2009-10,2.338,
2010-01,2.393,
2010-04,2.352,
2010-07,2.385,
2010-10,2.428,
2011-01,2.384,
2011-04,2.293,
2011-07,2.278,
2011-10,2.280,
2012-01,2.520,
2012-04,2.454,
2012-07,2.439,
2012-10,2.492,
2013-01,2.430,
2013-04,2.405,
2013-07,2.315,
2013-10,2.280,
2014-01,2.230,
2014-04,2.188,
2014-07,2.251,
