"",BBK01.OEAB24R,BBK01.OEAB24R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:24,
2002-01,2.253,
2002-04,2.237,
2002-07,2.266,
2002-10,2.386,
2003-01,2.569,
2003-04,2.517,
2003-07,2.516,
2003-10,2.363,
2004-01,2.577,
2004-04,2.578,
2004-07,2.566,
2004-10,2.569,
2005-01,2.629,
2005-04,2.616,
2005-07,2.611,
2005-10,2.568,
2006-01,2.505,
2006-04,2.456,
2006-07,2.460,
2006-10,2.427,
2007-01,1.938,
2007-04,1.860,
2007-07,1.843,
2007-10,1.822,
2008-01,1.860,
2008-04,1.823,
2008-07,2.054,
2008-10,1.962,
2009-01,1.936,
2009-04,1.924,
2009-07,1.934,
2009-10,1.893,
2010-01,2.032,
2010-04,2.075,
2010-07,2.098,
2010-10,2.178,
2011-01,2.175,
2011-04,2.149,
2011-07,2.163,
2011-10,2.219,
2012-01,2.200,
2012-04,2.211,
2012-07,2.204,
2012-10,2.237,
2013-01,2.218,
2013-04,2.198,
2013-07,2.245,
2013-10,2.244,
2014-01,2.252,
2014-04,2.248,
2014-07,2.252,
