"",BBK01.OEAD25L,BBK01.OEAD25L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:00,
2002-01,0.256,
2002-04,0.285,
2002-07,0.315,
2002-10,0.356,
2003-01,0.339,
2003-04,0.336,
2003-07,0.305,
2003-10,0.292,
2004-01,0.293,
2004-04,0.319,
2004-07,0.309,
2004-10,0.323,
2005-01,0.297,
2005-04,0.263,
2005-07,0.297,
2005-10,0.257,
2006-01,0.247,
2006-04,0.399,
2006-07,0.264,
2006-10,0.295,
2007-01,0.297,
2007-04,0.306,
2007-07,0.300,
2007-10,0.317,
2008-01,0.363,
2008-04,0.509,
2008-07,0.436,
2008-10,0.470,
2009-01,0.433,
2009-04,0.558,
2009-07,0.561,
2009-10,0.554,
2010-01,0.519,
2010-04,0.576,
2010-07,0.643,
2010-10,0.639,
2011-01,0.676,
2011-04,0.669,
2011-07,0.709,
2011-10,0.782,
2012-01,0.822,
2012-04,0.735,
2012-07,0.831,
2012-10,0.809,
2013-01,0.780,
2013-04,0.636,
2013-07,0.730,
2013-10,0.695,
2014-01,0.742,
2014-04,0.701,
2014-07,0.709,
