"",BBK01.CEBB0I,BBK01.CEBB0I_FLAGS
"",Long-term debt securities debtor: All sectors                     creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:07,
1991-01,161.8,
1991-04,175.0,
1991-07,173.2,
1991-10,172.2,
1992-01,186.4,
1992-04,185.0,
1992-07,177.0,
1992-10,166.0,
1993-01,180.4,
1993-04,158.9,
1993-07,162.8,
1993-10,162.2,
1994-01,160.9,
1994-04,157.4,
1994-07,159.4,
1994-10,166.9,
1995-01,197.6,
1995-04,210.8,
1995-07,213.8,
1995-10,216.2,
1996-01,202.7,
1996-04,209.2,
1996-07,219.1,
1996-10,227.7,
1997-01,223.0,
1997-04,232.6,
1997-07,232.8,
1997-10,234.0,
1998-01,221.0,
1998-04,223.9,
1998-07,228.9,
1998-10,227.1,
1999-01,247.8,
1999-04,243.9,
1999-07,234.0,
1999-10,228.7,
2000-01,222.5,
2000-04,220.2,
2000-07,229.7,
2000-10,226.4,
2001-01,209.7,
2001-04,213.5,
2001-07,202.0,
2001-10,245.6,
2002-01,229.4,
2002-04,232.6,
2002-07,245.7,
2002-10,263.3,
2003-01,273.0,
2003-04,288.1,
2003-07,287.7,
2003-10,283.6,
2004-01,304.1,
2004-04,310.2,
2004-07,321.3,
2004-10,321.6,
2005-01,322.1,
2005-04,321.4,
2005-07,332.8,
2005-10,318.8,
2006-01,242.8,
2006-04,252.0,
2006-07,261.6,
2006-10,267.5,
2007-01,284.0,
2007-04,296.1,
2007-07,302.7,
2007-10,292.7,
2008-01,279.7,
2008-04,280.5,
2008-07,275.4,
2008-10,261.1,
2009-01,253.0,
2009-04,254.6,
2009-07,262.7,
2009-10,261.4,
2010-01,261.3,
2010-04,256.1,
2010-07,255.9,
2010-10,250.5,
2011-01,250.4,
2011-04,253.8,
2011-07,244.6,
2011-10,243.6,
2012-01,245.8,
2012-04,241.2,
2012-07,240.1,
2012-10,233.8,
2013-01,226.9,
2013-04,217.4,
2013-07,215.9,
2013-10,212.2,
2014-01,210.8,
