"",BBK01.OEAA54M,BBK01.OEAA54M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:59,
2002-01,1.876,
2002-04,1.649,
2002-07,1.811,
2002-10,1.635,
2003-01,1.515,
2003-04,1.414,
2003-07,1.496,
2003-10,1.717,
2004-01,1.819,
2004-04,1.882,
2004-07,1.829,
2004-10,1.641,
2005-01,1.715,
2005-04,1.813,
2005-07,1.625,
2005-10,1.722,
2006-01,1.803,
2006-04,1.852,
2006-07,2.030,
2006-10,2.488,
2007-01,2.589,
2007-04,2.429,
2007-07,2.422,
2007-10,3.307,
2008-01,3.376,
2008-04,4.547,
2008-07,5.350,
2008-10,5.197,
2009-01,5.646,
2009-04,5.751,
2009-07,5.911,
2009-10,5.890,
2010-01,6.175,
2010-04,6.064,
2010-07,5.723,
2010-10,5.506,
2011-01,4.866,
2011-04,4.498,
2011-07,4.521,
2011-10,4.504,
2012-01,4.751,
2012-04,4.778,
2012-07,4.712,
2012-10,4.493,
2013-01,4.263,
2013-04,4.051,
2013-07,3.721,
2013-10,3.546,
2014-01,3.505,
2014-04,3.575,
2014-07,3.729,
