"",BBSF2.M.1.T.00000.IMM01.I.F.DGG.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.DGG.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Loans granted to real estate companies / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:57,
2009-09,987,
2009-10,948,
2009-11,777,
2009-12,870,
2010-01,868,
2010-02,808,
2010-03,802,
2010-04,780,
2010-05,864,
2010-06,1046,
2010-07,823,
2010-08,817,
2010-09,810,
2010-10,827,
2010-11,887,
2010-12,749,
2011-01,729,
2011-02,730,
2011-03,725,
2011-04,742,
2011-05,744,
2011-06,759,
2011-07,741,
2011-08,738,
2011-09,748,
2011-10,746,
2011-11,922,
2011-12,789,
2012-01,829,
2012-02,848,
2012-03,815,
2012-04,919,
2012-05,987,
2012-06,990,
2012-07,1058,
2012-08,1036,
2012-09,1031,
2012-10,1027,
2012-11,1025,
2012-12,1037,
2013-01,953,
2013-02,1129,
2013-03,1089,
2013-04,1091,
2013-05,1072,
2013-06,1331,
2013-07,1385,
2013-08,1394,
2013-09,1418,
2013-10,1382,
2013-11,1403,
2013-12,1397,
2014-01,1440,
2014-02,1419,
2014-03,1429,
2014-04,1412,
2014-05,1473,
2014-06,1431,
2014-07,1514,
2014-08,1597,
2014-09,1358,
2014-10,1360,
2014-11,1444,
