"",BBSF2.M.1.T.00000.AKT01.I.F.AKT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.AKT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Equity funds / Shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:20,
2009-09,111566,
2009-10,108786,
2009-11,109871,
2009-12,117316,
2010-01,112765,
2010-02,114275,
2010-03,124280,
2010-04,123395,
2010-05,123011,
2010-06,116326,
2010-07,118884,
2010-08,115524,
2010-09,121229,
2010-10,126406,
2010-11,129488,
2010-12,137826,
2011-01,137545,
2011-02,139441,
2011-03,136137,
2011-04,138590,
2011-05,138617,
2011-06,136094,
2011-07,136916,
2011-08,117512,
2011-09,111610,
2011-10,121692,
2011-11,118174,
2011-12,120424,
2012-01,127303,
2012-02,131277,
2012-03,130871,
2012-04,123103,
2012-05,118416,
2012-06,120455,
2012-07,127868,
2012-08,129419,
2012-09,131758,
2012-10,131321,
2012-11,132834,
2012-12,137937,
2013-01,141329,
2013-02,144011,
2013-03,147696,
2013-04,148101,
2013-05,152200,
2013-06,144990,
2013-07,151950,
2013-08,150388,
2013-09,156664,
2013-10,162870,
2013-11,167584,
2013-12,167921,
2014-01,162967,
2014-02,169071,
2014-03,167597,
2014-04,168629,
2014-05,174216,
2014-06,175205,
2014-07,172819,
2014-08,177503,
2014-09,174632,
2014-10,172281,
2014-11,181586,
