"",BBK01.OELJ01U,BBK01.OELJ01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:20,
2002-01,0.583,
2002-04,0.541,
2002-07,0.540,
2002-10,0.582,
2003-01,0.530,
2003-04,0.529,
2003-07,0.592,
2003-10,0.634,
2004-01,0.607,
2004-04,0.582,
2004-07,0.597,
2004-10,0.624,
2005-01,0.574,
2005-04,0.583,
2005-07,0.591,
2005-10,0.651,
2006-01,0.609,
2006-04,0.589,
2006-07,0.628,
2006-10,0.738,
2007-01,0.685,
2007-04,0.668,
2007-07,0.688,
2007-10,0.765,
2008-01,0.727,
2008-04,0.700,
2008-07,0.945,
2008-10,0.839,
2009-01,0.836,
2009-04,0.878,
2009-07,0.904,
2009-10,0.980,
2010-01,0.959,
2010-04,1.002,
2010-07,1.055,
2010-10,1.140,
2011-01,1.094,
2011-04,1.104,
2011-07,1.129,
2011-10,1.160,
2012-01,1.141,
2012-04,1.073,
2012-07,1.152,
2012-10,1.168,
2013-01,1.146,
2013-04,1.160,
2013-07,1.221,
2013-10,1.302,
2014-01,1.252,
2014-04,1.220,
2014-07,1.358,
