"",BBSF2.M.1.T.00000.IMM01.I.F.SVG.Z5.00000.F03300.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.SVG.Z5.00000.F03300.Z01.00_FLAGS
"",Funds total / Real estate funds / Debt securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:50,
2009-09,3715,
2009-10,3670,
2009-11,4251,
2009-12,4264,
2010-01,4823,
2010-02,5213,
2010-03,5502,
2010-04,5569,
2010-05,5425,
2010-06,5418,
2010-07,5465,
2010-08,5551,
2010-09,5397,
2010-10,4750,
2010-11,4778,
2010-12,4730,
2011-01,3353,
2011-02,2838,
2011-03,2716,
2011-04,2267,
2011-05,2696,
2011-06,2572,
2011-07,2623,
2011-08,2489,
2011-09,2288,
2011-10,2285,
2011-11,2645,
2011-12,2534,
2012-01,2450,
2012-02,2459,
2012-03,2491,
2012-04,2398,
2012-05,1618,
2012-06,1497,
2012-07,1513,
2012-08,1506,
2012-09,1563,
2012-10,1620,
2012-11,1530,
2012-12,1803,
2013-01,2096,
2013-02,2322,
2013-03,2259,
2013-04,2256,
2013-05,2693,
2013-06,2901,
2013-07,2918,
2013-08,3053,
2013-09,3130,
2013-10,3099,
2013-11,3395,
2013-12,3204,
2014-01,3424,
2014-02,3252,
2014-03,3198,
2014-04,3098,
2014-05,3056,
2014-06,3047,
2014-07,3133,
2014-08,3116,
2014-09,2871,
2014-10,3495,
2014-11,2821,
