"",BBFN1.M.DE.N.1.A.LT.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LT.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Lithuania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:37,
1994-07,0.018,
1994-08,0.022,
1994-09,0.025,
1994-10,0.026,
1994-11,0.027,
1994-12,0.030,
1995-01,0.030,
1995-02,0.029,
1995-03,0.034,
1995-04,0.036,
1995-05,0.035,
1995-06,0.038,
1995-07,0.039,
1995-08,0.039,
1995-09,0.038,
1995-10,0.039,
1995-11,0.040,
1995-12,0.033,
1996-01,0.033,
1996-02,0.037,
1996-03,0.036,
1996-04,0.036,
1996-05,0.035,
1996-06,0.039,
1996-07,0.041,
1996-08,0.041,
1996-09,0.043,
1996-10,0.042,
1996-11,0.042,
1996-12,0.046,
1997-01,0.047,
1997-02,0.046,
1997-03,0.053,
1997-04,0.056,
1997-05,0.058,
1997-06,0.060,
1997-07,0.062,
1997-08,0.062,
1997-09,0.057,
1997-10,0.063,
1997-11,0.071,
1997-12,0.067,
1998-01,0.062,
1998-02,0.063,
1998-03,0.072,
1998-04,0.078,
1998-05,0.079,
1998-06,0.078,
1998-07,0.083,
1998-08,0.081,
1998-09,0.082,
1998-10,0.086,
1998-11,0.081,
1998-12,0.076,
1999-01,0.075,
1999-02,0.081,
1999-03,0.087,
1999-04,0.087,
1999-05,0.087,
1999-06,0.085,
1999-07,0.090,
1999-08,0.093,
1999-09,0.117,
1999-10,0.096,
1999-11,0.098,
1999-12,0.098,
2000-01,0.101,
2000-02,0.093,
2000-03,0.103,
2000-04,0.106,
2000-05,0.104,
2000-06,0.108,
2000-07,0.105,
2000-08,0.105,
2000-09,0.109,
2000-10,0.117,
2000-11,0.114,
2000-12,0.113,
2001-01,0.107,
2001-02,0.107,
2001-03,0.111,
2001-04,0.116,
2001-05,0.116,
2001-06,0.118,
2001-07,0.128,
2001-08,0.129,
2001-09,0.129,
2001-10,0.137,
2001-11,0.132,
2001-12,0.129,
2002-01,0.118,
2002-02,0.121,
2002-03,0.118,
2002-04,0.118,
2002-05,0.119,
2002-06,0.131,
2002-07,0.122,
2002-08,0.122,
2002-09,0.120,
2002-10,0.132,
2002-11,0.132,
2002-12,0.115,
2003-01,0.109,
2003-02,0.115,
2003-03,0.119,
2003-04,0.121,
2003-05,0.120,
2003-06,0.124,
2003-07,0.124,
2003-08,0.131,
2003-09,0.121,
2003-10,0.129,
2003-11,0.133,
2003-12,0.120,
2004-01,0.119,
2004-02,0.124,
2004-03,0.131,
2004-04,0.137,
2004-05,0.145,
2004-06,0.153,
2004-07,0.151,
2004-08,0.137,
2004-09,0.138,
2004-10,0.148,
2004-11,0.148,
2004-12,0.125,
2005-01,0.140,
2005-02,0.146,
2005-03,0.163,
2005-04,0.219,
2005-05,0.221,
2005-06,0.224,
2005-07,0.216,
2005-08,0.213,
2005-09,0.214,
2005-10,0.210,
2005-11,0.157,
2005-12,0.160,
2006-01,0.142,
2006-02,0.145,
2006-03,0.155,
2006-04,0.163,
2006-05,0.167,
2006-06,0.168,
2006-07,0.173,
2006-08,0.177,
2006-09,0.180,
2006-10,0.179,
2006-11,0.193,
2006-12,0.176,
2007-01,0.182,
2007-02,0.185,
2007-03,0.186,
2007-04,0.195,
2007-05,0.202,
2007-06,0.208,
2007-07,0.211,
2007-08,0.203,
2007-09,0.208,
2007-10,0.212,
2007-11,0.199,
2007-12,0.189,
2008-01,0.195,
2008-02,0.213,
2008-03,0.221,
2008-04,0.229,
2008-05,0.239,
2008-06,0.243,
2008-07,0.243,
2008-08,0.238,
2008-09,0.230,
2008-10,0.260,
2008-11,0.232,
2008-12,0.216,
2009-01,0.210,
2009-02,0.199,
2009-03,0.191,
2009-04,0.195,
2009-05,0.179,
2009-06,0.176,
2009-07,0.177,
2009-08,0.174,
2009-09,0.175,
2009-10,0.174,
2009-11,0.183,
2009-12,0.179,
2010-01,0.173,
2010-02,0.174,
2010-03,0.182,
2010-04,0.180,
2010-05,0.193,
2010-06,0.201,
2010-07,0.201,
2010-08,0.207,
2010-09,0.199,
2010-10,0.261,
2010-11,0.254,
2010-12,0.216,
2011-01,0.205,
2011-02,0.208,
2011-03,0.210,
2011-04,0.210,
2011-05,0.214,
2011-06,0.223,
2011-07,0.234,
2011-08,0.219,
2011-09,0.215,
2011-10,0.209,
2011-11,0.203,
2011-12,0.200,
2012-01,0.188,
2012-02,0.179,
2012-03,0.192,
2012-04,0.199,
2012-05,0.202,
2012-06,0.200,
2012-07,0.206,
2012-08,0.205,
2012-09,0.215,
2012-10,0.215,
2012-11,0.207,
2012-12,0.207,
2013-01,0.187,
2013-02,0.197,
2013-03,0.203,
2013-04,0.208,
2013-05,0.210,
2013-06,0.204,
2013-07,0.202,
2013-08,0.212,
2013-09,0.202,
2013-10,0.210,
2013-11,0.220,
2013-12,0.190,
2014-01,0.192,
2014-02,0.206,
2014-03,0.224,
2014-04,0.217,
2014-05,0.219,
2014-06,0.231,
2014-07,0.231,
2014-08,0.229,
2014-09,0.232,
2014-10,0.233,
2014-11,0.238,
2014-12,0.211,
