"",BBK01.OEAH04K,BBK01.OEAH04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:30,
2002-01,15.302,
2002-04,15.625,
2002-07,14.864,
2002-10,16.116,
2003-01,14.894,
2003-04,14.097,
2003-07,14.750,
2003-10,13.974,
2004-01,12.766,
2004-04,12.939,
2004-07,15.509,
2004-10,12.254,
2005-01,10.766,
2005-04,9.768,
2005-07,9.460,
2005-10,9.560,
2006-01,10.306,
2006-04,11.276,
2006-07,11.732,
2006-10,12.245,
2007-01,13.745,
2007-04,13.152,
2007-07,14.353,
2007-10,15.451,
2008-01,14.793,
2008-04,16.751,
2008-07,18.351,
2008-10,18.332,
2009-01,14.295,
2009-04,13.153,
2009-07,11.025,
2009-10,10.397,
2010-01,9.778,
2010-04,10.271,
2010-07,10.195,
2010-10,11.155,
2011-01,9.678,
2011-04,10.812,
2011-07,11.524,
2011-10,10.932,
2012-01,9.852,
2012-04,9.462,
2012-07,8.352,
2012-10,8.768,
2013-01,9.235,
2013-04,8.586,
2013-07,7.308,
2013-10,6.509,
2014-01,6.196,
2014-04,6.670,
2014-07,6.812,
