"",BBFN1.M.DE.N.1.A.AT.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AT.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Austria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:01,
1994-12,5.134,
1995-01,5.218,
1995-02,5.269,
1995-03,5.453,
1995-04,5.451,
1995-05,5.405,
1995-06,5.420,
1995-07,5.240,
1995-08,5.259,
1995-09,5.382,
1995-10,5.517,
1995-11,5.541,
1995-12,5.131,
1996-01,4.895,
1996-02,4.953,
1996-03,5.034,
1996-04,5.096,
1996-05,5.075,
1996-06,4.988,
1996-07,5.028,
1996-08,4.952,
1996-09,5.312,
1996-10,5.679,
1996-11,5.712,
1996-12,5.526,
1997-01,5.433,
1997-02,5.596,
1997-03,5.704,
1997-04,5.641,
1997-05,5.599,
1997-06,5.684,
1997-07,5.636,
1997-08,5.521,
1997-09,5.951,
1997-10,6.109,
1997-11,6.173,
1997-12,6.156,
1998-01,6.105,
1998-02,5.973,
1998-03,6.028,
1998-04,5.922,
1998-05,5.969,
1998-06,5.865,
1998-07,5.946,
1998-08,5.802,
1998-09,6.240,
1998-10,6.355,
1998-11,6.286,
1998-12,6.124,
1999-01,6.060,
1999-02,6.343,
1999-03,6.476,
1999-04,6.293,
1999-05,6.165,
1999-06,6.406,
1999-07,6.227,
1999-08,6.742,
1999-09,6.829,
1999-10,7.285,
1999-11,7.279,
1999-12,6.995,
2000-01,7.144,
2000-02,7.479,
2000-03,7.769,
2000-04,7.789,
2000-05,8.039,
2000-06,8.081,
2000-07,7.884,
2000-08,8.336,
2000-09,8.681,
2000-10,8.886,
2000-11,9.126,
2000-12,8.439,
2001-01,8.500,
2001-02,8.640,
2001-03,8.876,
2001-04,8.669,
2001-05,8.785,
2001-06,8.979,
2001-07,8.878,
2001-08,8.777,
2001-09,9.591,
2001-10,9.841,
2001-11,9.747,
2001-12,8.760,
2002-01,8.700,
2002-02,8.923,
2002-03,8.756,
2002-04,8.821,
2002-05,9.249,
2002-06,8.987,
2002-07,8.837,
2002-08,8.541,
2002-09,8.843,
2002-10,9.105,
2002-11,8.878,
2002-12,9.008,
2003-01,8.762,
2003-02,8.969,
2003-03,9.879,
2003-04,10.046,
2003-05,10.066,
2003-06,10.370,
2003-07,10.513,
2003-08,10.377,
2003-09,10.983,
2003-10,10.537,
2003-11,10.663,
2003-12,10.352,
2004-01,10.199,
2004-02,10.926,
2004-03,11.377,
2004-04,11.630,
2004-05,12.174,
2004-06,12.503,
2004-07,12.983,
2004-08,12.809,
2004-09,13.618,
2004-10,13.692,
2004-11,14.184,
2004-12,14.118,
2005-01,15.572,
2005-02,15.994,
2005-03,16.650,
2005-04,16.741,
2005-05,15.112,
2005-06,15.469,
2005-07,15.272,
2005-08,15.277,
2005-09,15.712,
2005-10,16.191,
2005-11,16.458,
2005-12,16.480,
2006-01,16.451,
2006-02,18.388,
2006-03,19.168,
2006-04,18.850,
2006-05,18.940,
2006-06,19.205,
2006-07,19.254,
2006-08,19.285,
2006-09,19.642,
2006-10,19.717,
2006-11,20.438,
2006-12,19.617,
2007-01,19.776,
2007-02,20.900,
2007-03,21.507,
2007-04,21.768,
2007-05,21.915,
2007-06,22.413,
2007-07,22.413,
2007-08,22.336,
2007-09,22.733,
2007-10,23.216,
2007-11,23.401,
2007-12,22.689,
2008-01,22.329,
2008-02,23.525,
2008-03,23.770,
2008-04,23.907,
2008-05,23.994,
2008-06,24.558,
2008-07,24.405,
2008-08,24.939,
2008-09,25.739,
2008-10,25.788,
2008-11,26.529,
2008-12,26.298,
2009-01,27.177,
2009-02,27.162,
2009-03,27.123,
2009-04,27.067,
2009-05,27.347,
2009-06,27.380,
2009-07,26.529,
2009-08,27.767,
2009-09,28.231,
2009-10,29.518,
2009-11,29.506,
2009-12,28.309,
2010-01,28.133,
2010-02,29.201,
2010-03,28.893,
2010-04,29.303,
2010-05,29.314,
2010-06,29.216,
2010-07,29.526,
2010-08,29.971,
2010-09,30.291,
2010-10,30.235,
2010-11,30.688,
2010-12,31.640,
2011-01,33.007,
2011-02,33.823,
2011-03,34.647,
2011-04,34.418,
2011-05,35.743,
2011-06,37.047,
2011-07,36.908,
2011-08,37.491,
2011-09,38.790,
2011-10,40.121,
2011-11,41.251,
2011-12,38.828,
2012-01,39.520,
2012-02,41.944,
2012-03,41.366,
2012-04,41.474,
2012-05,41.784,
2012-06,42.508,
2012-07,43.446,
2012-08,43.143,
2012-09,44.592,
2012-10,44.589,
2012-11,45.978,
2012-12,41.990,
2013-01,41.831,
2013-02,44.641,
2013-03,44.494,
2013-04,43.732,
2013-05,43.112,
2013-06,44.497,
2013-07,43.899,
2013-08,45.217,
2013-09,48.067,
2013-10,47.281,
2013-11,46.490,
2013-12,47.310,
2014-01,45.604,
2014-02,48.146,
2014-03,48.151,
2014-04,47.317,
2014-05,47.375,
2014-06,48.890,
2014-07,49.306,
2014-08,54.370,
2014-09,50.803,
2014-10,52.328,
2014-11,52.950,
2014-12,49.010,
