"",BBFN1.M.DE.N.1.A.W03100.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W03100.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:52,
1995-01,5.390,
1995-02,5.790,
1995-03,6.228,
1995-04,6.508,
1995-05,7.201,
1995-06,6.935,
1995-07,7.773,
1995-08,7.541,
1995-09,7.646,
1995-10,7.588,
1995-11,6.959,
1995-12,6.643,
1996-01,6.682,
1996-02,6.378,
1996-03,6.040,
1996-04,6.632,
1996-05,6.429,
1996-06,6.771,
1996-07,6.982,
1996-08,7.127,
1996-09,7.672,
1996-10,7.345,
1996-11,7.816,
1996-12,7.054,
1997-01,7.732,
1997-02,7.941,
1997-03,8.117,
1997-04,8.986,
1997-05,8.867,
1997-06,8.526,
1997-07,8.435,
1997-08,8.192,
1997-09,8.462,
1997-10,7.796,
1997-11,7.418,
1997-12,7.404,
1998-01,6.949,
1998-02,7.329,
1998-03,7.021,
1998-04,6.902,
1998-05,7.467,
1998-06,7.825,
1998-07,7.688,
1998-08,7.136,
1998-09,7.121,
1998-10,7.375,
1998-11,7.728,
1998-12,7.548,
1999-01,7.338,
1999-02,7.490,
1999-03,8.230,
1999-04,8.923,
1999-05,8.687,
1999-06,8.876,
1999-07,9.079,
1999-08,8.809,
1999-09,9.236,
1999-10,9.093,
1999-11,9.135,
1999-12,8.474,
2000-01,9.172,
2000-02,9.064,
2000-03,10.892,
2000-04,11.561,
2000-05,13.228,
2000-06,12.983,
2000-07,13.269,
2000-08,14.975,
2000-09,15.648,
2000-10,16.357,
2000-11,15.672,
2000-12,14.815,
2001-01,15.269,
2001-02,16.436,
2001-03,17.465,
2001-04,18.839,
2001-05,19.116,
2001-06,18.886,
2001-07,18.254,
2001-08,18.253,
2001-09,18.481,
2001-10,18.183,
2001-11,13.626,
2001-12,15.406,
2002-01,14.789,
2002-02,13.419,
2002-03,12.953,
2002-04,14.279,
2002-05,12.171,
2002-06,12.216,
2002-07,12.280,
2002-08,11.182,
2002-09,11.723,
2002-10,10.864,
2002-11,11.077,
2002-12,10.098,
2003-01,9.469,
2003-02,10.035,
2003-03,10.366,
2003-04,10.151,
2003-05,10.475,
2003-06,10.434,
2003-07,10.009,
2003-08,10.121,
2003-09,10.447,
2003-10,11.231,
2003-11,11.278,
2003-12,9.993,
2004-01,10.406,
2004-02,10.357,
2004-03,10.426,
2004-04,10.125,
2004-05,7.961,
2004-06,7.860,
2004-07,8.114,
2004-08,8.084,
2004-09,7.789,
2004-10,8.260,
2004-11,7.928,
2004-12,8.368,
2005-01,8.322,
2005-02,8.897,
2005-03,8.899,
2005-04,9.452,
2005-05,9.612,
2005-06,9.698,
2005-07,9.826,
2005-08,9.949,
2005-09,9.421,
2005-10,9.880,
2005-11,10.541,
2005-12,9.242,
2006-01,9.213,
2006-02,10.160,
2006-03,10.086,
2006-04,10.454,
2006-05,10.579,
2006-06,10.791,
2006-07,10.935,
2006-08,11.264,
2006-09,11.271,
2006-10,11.329,
2006-11,11.907,
2006-12,12.157,
2007-01,10.622,
2007-02,11.909,
2007-03,10.486,
2007-04,10.910,
2007-05,11.395,
2007-06,11.765,
2007-07,11.167,
2007-08,11.912,
2007-09,11.439,
2007-10,11.274,
2007-11,12.121,
2007-12,10.928,
2008-01,10.509,
2008-02,10.909,
2008-03,11.112,
2008-04,11.788,
2008-05,12.155,
2008-06,12.197,
2008-07,12.354,
2008-08,12.581,
2008-09,13.166,
2008-10,13.225,
2008-11,12.961,
2008-12,13.251,
2009-01,12.503,
2009-02,12.520,
2009-03,12.594,
2009-04,12.596,
2009-05,12.740,
2009-06,13.008,
2009-07,12.871,
2009-08,12.663,
2009-09,12.762,
2009-10,12.566,
2009-11,12.559,
2009-12,11.991,
2010-01,12.338,
2010-02,12.491,
2010-03,12.231,
2010-04,12.665,
2010-05,13.421,
2010-06,14.005,
2010-07,14.364,
2010-08,13.840,
2010-09,13.218,
2010-10,12.858,
2010-11,13.485,
2010-12,13.318,
2011-01,13.406,
2011-02,13.550,
2011-03,14.015,
2011-04,14.508,
2011-05,14.640,
2011-06,14.680,
2011-07,14.795,
2011-08,14.646,
2011-09,14.374,
2011-10,13.987,
2011-11,15.316,
2011-12,15.601,
2012-01,15.789,
2012-02,15.790,
2012-03,16.130,
2012-04,17.507,
2012-05,17.039,
2012-06,17.609,
2012-07,18.296,
2012-08,17.350,
2012-09,17.462,
2012-10,17.387,
2012-11,17.469,
2012-12,16.649,
2013-01,16.112,
2013-02,16.323,
2013-03,16.950,
2013-04,17.703,
2013-05,17.816,
2013-06,18.363,
2013-07,16.479,
2013-08,18.110,
2013-09,17.406,
2013-10,17.682,
2013-11,18.341,
2013-12,17.317,
2014-01,17.421,
2014-02,17.715,
2014-03,19.048,
2014-04,20.981,
2014-05,20.028,
2014-06,20.523,
2014-07,21.089,
2014-08,20.752,
2014-09,20.344,
2014-10,20.527,
2014-11,21.217,
2014-12,21.992,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
