"",BBK01.OEAI03I,BBK01.OEAI03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:17,
2002-01,44.496,
2002-04,44.174,
2002-07,44.097,
2002-10,43.489,
2003-01,44.170,
2003-04,42.231,
2003-07,40.385,
2003-10,42.265,
2004-01,42.367,
2004-04,41.514,
2004-07,42.875,
2004-10,43.466,
2005-01,45.738,
2005-04,42.920,
2005-07,43.101,
2005-10,44.433,
2006-01,46.712,
2006-04,48.087,
2006-07,49.028,
2006-10,49.981,
2007-01,50.581,
2007-04,52.320,
2007-07,56.623,
2007-10,57.520,
2008-01,58.294,
2008-04,62.713,
2008-07,64.395,
2008-10,61.181,
2009-01,61.822,
2009-04,60.316,
2009-07,57.362,
2009-10,55.891,
2010-01,58.343,
2010-04,53.247,
2010-07,60.558,
2010-10,62.103,
2011-01,64.543,
2011-04,68.926,
2011-07,72.403,
2011-10,69.064,
2012-01,71.731,
2012-04,72.187,
2012-07,71.854,
2012-10,68.792,
2013-01,74.611,
2013-04,74.462,
2013-07,64.657,
2013-10,62.296,
2014-01,63.862,
2014-04,64.365,
2014-07,63.313,
