"",BBK01.OEAH09L,BBK01.OEAH09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:07,
2002-01,1.795,
2002-04,1.803,
2002-07,1.777,
2002-10,1.736,
2003-01,1.676,
2003-04,1.608,
2003-07,1.560,
2003-10,1.548,
2004-01,1.493,
2004-04,1.439,
2004-07,1.412,
2004-10,1.407,
2005-01,1.313,
2005-04,1.303,
2005-07,1.292,
2005-10,1.450,
2006-01,1.777,
2006-04,2.073,
2006-07,2.523,
2006-10,3.156,
2007-01,4.172,
2007-04,5.163,
2007-07,6.171,
2007-10,7.685,
2008-01,8.565,
2008-04,9.413,
2008-07,9.877,
2008-10,10.601,
2009-01,9.529,
2009-04,7.689,
2009-07,6.086,
2009-10,4.376,
2010-01,3.433,
2010-04,3.156,
2010-07,2.889,
2010-10,3.108,
2011-01,3.097,
2011-04,3.230,
2011-07,3.272,
2011-10,3.784,
2012-01,3.860,
2012-04,3.803,
2012-07,3.718,
2012-10,3.511,
2013-01,3.217,
2013-04,2.972,
2013-07,2.788,
2013-10,2.756,
2014-01,2.744,
2014-04,2.752,
2014-07,2.695,
