"",BBFB1.Q.N.DE.B5.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:24,
1991-01,6386.804,
1991-04,5775.345,
1991-07,5916.223,
1991-10,6758.418,
1992-01,6718.911,
1992-04,6319.858,
1992-07,6764.775,
1992-10,7074.431,
1993-01,6435.125,
1993-04,6763.701,
1993-07,6798.231,
1993-10,7943.304,
1994-01,7207.659,
1994-04,6854.347,
1994-07,7157.860,
1994-10,8007.517,
1995-01,8046.538,
1995-04,7188.299,
1995-07,7642.457,
1995-10,8453.394,
1996-01,7748.139,
1996-04,7741.036,
1996-07,5872.061,
1996-10,7504.151,
1997-01,9585.855,
1997-04,6831.245,
1997-07,7997.377,
1997-10,6248.145,
1998-01,11557.173,
1998-04,7140.965,
1998-07,8472.261,
1998-10,8482.053,
1999-01,10552.378,
1999-04,9232.213,
1999-07,10531.878,
1999-10,9921.064,
2000-01,11206.516,
2000-04,10725.115,
2000-07,10196.486,
2000-10,11620.262,
2001-01,11180.313,
2001-04,11491.948,
2001-07,9877.527,
2001-10,10285.627,
2002-01,10529.282,
2002-04,10176.251,
2002-07,7937.402,
2002-10,9287.751,
2003-01,11385.632,
2003-04,11928.034,
2003-07,11771.194,
2003-10,9973.323,
2004-01,12296.648,
2004-04,10640.814,
2004-07,10779.390,
2004-10,9026.379,
2005-01,12745.528,
2005-04,9595.419,
2005-07,10149.226,
2005-10,9100.082,
2006-01,13866.814,
2006-04,10583.406,
2006-07,11859.037,
2006-10,11655.113,
2007-01,12766.105,
2007-04,9655.429,
2007-07,9636.745,
2007-10,11095.383,
2008-01,12762.000,
2008-04,9601.106,
2008-07,8972.226,
2008-10,11757.759,
2009-01,11774.563,
2009-04,9296.955,
2009-07,9221.010,
2009-10,12918.894,
2010-01,14708.344,
2010-04,10457.937,
2010-07,12171.206,
2010-10,13169.043,
2011-01,15478.189,
2011-04,12131.748,
2011-07,12998.948,
2011-10,13427.980,
2012-01,19057.939,
2012-04,14475.656,
2012-07,14393.136,
2012-10,14965.452,
2013-01,19726.708,
2013-04,15264.156,
2013-07,14976.441,
2013-10,15801.080,
2014-01,19870.340,Provisional value
2014-04,15918.068,Provisional value
2014-07,12852.335,Provisional value
