"",BBK01.OECJ01J,BBK01.OECJ01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:11,
2002-01,0.872,
2002-04,0.828,
2002-07,0.769,
2002-10,0.827,
2003-01,0.750,
2003-04,0.843,
2003-07,0.797,
2003-10,0.795,
2004-01,0.799,
2004-04,0.691,
2004-07,0.786,
2004-10,0.863,
2005-01,0.933,
2005-04,0.850,
2005-07,0.817,
2005-10,1.115,
2006-01,0.988,
2006-04,0.942,
2006-07,0.918,
2006-10,0.978,
2007-01,0.941,
2007-04,0.964,
2007-07,1.273,
2007-10,1.355,
2008-01,1.383,
2008-04,1.421,
2008-07,1.445,
2008-10,1.643,
2009-01,1.599,
2009-04,1.462,
2009-07,1.532,
2009-10,1.784,
2010-01,1.586,
2010-04,1.441,
2010-07,1.398,
2010-10,1.511,
2011-01,1.496,
2011-04,1.454,
2011-07,1.472,
2011-10,1.596,
2012-01,1.526,
2012-04,5.880,
2012-07,5.981,
2012-10,5.712,
2013-01,5.475,
2013-04,3.949,
2013-07,3.052,
2013-10,3.145,
2014-01,1.605,
2014-04,1.627,
2014-07,1.674,
