"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.CZ.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.CZ.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Czech Republic,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:23,
2009-09,224,
2009-10,229,
2009-11,214,
2009-12,217,
2010-01,196,
2010-02,192,
2010-03,193,
2010-04,216,
2010-05,198,
2010-06,191,
2010-07,195,
2010-08,210,
2010-09,235,
2010-10,229,
2010-11,224,
2010-12,208,
2011-01,209,
2011-02,201,
2011-03,195,
2011-04,209,
2011-05,221,
2011-06,236,
2011-07,251,
2011-08,318,
2011-09,239,
2011-10,230,
2011-11,213,
2011-12,223,
2012-01,207,
2012-02,263,
2012-03,272,
2012-04,257,
2012-05,253,
2012-06,266,
2012-07,287,
2012-08,290,
2012-09,287,
2012-10,317,
2012-11,304,
2012-12,310,
2013-01,314,
2013-02,314,
2013-03,315,
2013-04,362,
2013-05,381,
2013-06,344,
2013-07,332,
2013-08,319,
2013-09,318,
2013-10,297,
2013-11,288,
2013-12,285,
2014-01,280,
2014-02,284,
2014-03,279,
2014-04,253,
2014-05,231,
2014-06,226,
2014-07,223,
2014-08,221,
2014-09,220,
2014-10,231,
2014-11,221,
