"",BBK01.CEB4CQ,BBK01.CEB4CQ_FLAGS
"",Loans debtor: General government                               creditor: All sectors  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:20,
1991-01,262.8,
1991-04,266.5,
1991-07,266.1,
1991-10,275.1,
1992-01,272.5,
1992-04,271.0,
1992-07,270.1,
1992-10,278.8,
1993-01,279.2,
1993-04,284.5,
1993-07,288.0,
1993-10,299.1,
1994-01,315.5,
1994-04,316.2,
1994-07,316.0,
1994-10,336.8,
1995-01,353.4,
1995-04,359.1,
1995-07,377.5,
1995-10,404.1,
1996-01,410.9,
1996-04,411.4,
1996-07,418.2,
1996-10,440.0,
1997-01,442.5,
1997-04,439.9,
1997-07,453.4,
1997-10,456.7,
1998-01,466.0,
1998-04,460.8,
1998-07,465.9,
1998-10,462.6,
1999-01,485.9,
1999-04,485.9,
1999-07,480.8,
1999-10,482.8,
2000-01,490.1,
2000-04,485.1,
2000-07,490.2,
2000-10,462.0,
2001-01,470.5,
2001-04,457.8,
2001-07,455.8,
2001-10,452.6,
2002-01,464.1,
2002-04,443.1,
2002-07,437.8,
2002-10,441.7,
2003-01,444.1,
2003-04,447.3,
2003-07,459.8,
2003-10,457.8,
2004-01,468.8,
2004-04,461.8,
2004-07,463.6,
2004-10,458.4,
2005-01,469.5,
2005-04,462.2,
2005-07,468.2,
2005-10,458.8,
2006-01,466.5,
2006-04,459.1,
2006-07,464.9,
2006-10,454.2,
2007-01,459.8,
2007-04,459.9,
2007-07,451.2,
2007-10,432.7,
2008-01,455.3,
2008-04,462.1,
2008-07,446.8,
2008-10,457.0,
2009-01,451.3,
2009-04,450.9,
2009-07,460.2,
2009-10,457.0,
2010-01,453.3,
2010-04,477.0,
2010-07,479.8,
2010-10,651.3,
2011-01,634.0,
2011-04,611.5,
2011-07,612.4,
2011-10,613.7,
2012-01,609.7,
2012-04,627.7,
2012-07,607.8,
2012-10,598.4,
2013-01,580.2,
2013-04,585.3,
2013-07,569.1,
2013-10,577.5,
2014-01,563.4,
